TabICL-HURRAH
# Aggregated over 5 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
               knn | Train: 0.640 ± 0.011 | Test: 0.627 ± 0.015
              mean | Train: 0.683 ± 0.009 | Test: 0.674 ± 0.012
            median | Train: 0.677 ± 0.008 | Test: 0.667 ± 0.013

-- Cox Vanilla --
          constant | Train: 0.672 ± 0.030 | Test: 0.609 ± 0.017
        embeddings | Train: 0.957 ± 0.003 | Test: 0.567 ± 0.030
  imputer_bayesian | Train: 0.678 ± 0.022 | Test: 0.665 ± 0.023
               knn | Train: 0.654 ± 0.043 | Test: 0.621 ± 0.036
              mean | Train: 0.687 ± 0.018 | Test: 0.672 ± 0.014
            median | Train: 0.678 ± 0.025 | Test: 0.664 ± 0.023

-- RSF --
          constant | Train: 0.759 ± 0.005 | Test: 0.655 ± 0.012
        embeddings | Train: 0.990 ± 0.001 | Test: 0.568 ± 0.012
  imputer_bayesian | Train: 0.896 ± 0.010 | Test: 0.683 ± 0.008
               knn | Train: 0.916 ± 0.006 | Test: 0.646 ± 0.010
              mean | Train: 0.782 ± 0.005 | Test: 0.670 ± 0.010
            median | Train: 0.745 ± 0.005 | Test: 0.667 ± 0.010
