TabPFN-OrmoniTirodei
# Aggregated over 5 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
               knn | Train: 0.552 ± 0.021 | Test: 0.537 ± 0.019
              mean | Train: 0.620 ± 0.019 | Test: 0.602 ± 0.017
            median | Train: 0.633 ± 0.009 | Test: 0.612 ± 0.016

-- Cox Vanilla --
          constant | Train: 0.681 ± 0.031 | Test: 0.540 ± 0.015
        embeddings | Train: 0.903 ± 0.002 | Test: 0.511 ± 0.027
  imputer_bayesian | Train: 0.648 ± 0.014 | Test: 0.618 ± 0.018
               knn | Train: 0.618 ± 0.014 | Test: 0.565 ± 0.013
              mean | Train: 0.646 ± 0.013 | Test: 0.622 ± 0.014
            median | Train: 0.647 ± 0.008 | Test: 0.620 ± 0.014

-- RSF --
          constant | Train: 0.766 ± 0.006 | Test: 0.612 ± 0.016
        embeddings | Train: 0.964 ± 0.002 | Test: 0.623 ± 0.016
  imputer_bayesian | Train: 0.880 ± 0.012 | Test: 0.618 ± 0.015
               knn | Train: 0.892 ± 0.013 | Test: 0.603 ± 0.013
              mean | Train: 0.740 ± 0.007 | Test: 0.628 ± 0.013
            median | Train: 0.694 ± 0.005 | Test: 0.628 ± 0.013
