|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
    imputer_bayesian | Train: 0.674 ± 0.012 | Test: 0.667 ± 0.012
                 knn | Train: 0.647 ± 0.007 | Test: 0.629 ± 0.012
                mean | Train: 0.685 ± 0.009 | Test: 0.673 ± 0.009
              median | Train: 0.681 ± 0.014 | Test: 0.669 ± 0.015

-- Cox Vanilla --
            constant | Train: 0.674 ± 0.012 | Test: 0.613 ± 0.012
          embeddings | Train: 0.956 ± 0.002 | Test: 0.582 ± 0.016
    imputer_bayesian | Train: 0.661 ± 0.023 | Test: 0.650 ± 0.021
                 knn | Train: 0.639 ± 0.068 | Test: 0.614 ± 0.055
                mean | Train: 0.695 ± 0.010 | Test: 0.677 ± 0.007
              median | Train: 0.689 ± 0.012 | Test: 0.672 ± 0.010

-- RSF --
            constant | Train: 0.757 ± 0.004 | Test: 0.651 ± 0.009
          embeddings | Train: 0.991 ± 0.001 | Test: 0.566 ± 0.021
    imputer_bayesian | Train: 0.905 ± 0.010 | Test: 0.682 ± 0.004
                 knn | Train: 0.914 ± 0.008 | Test: 0.646 ± 0.014
                mean | Train: 0.784 ± 0.006 | Test: 0.669 ± 0.009
              median | Train: 0.745 ± 0.008 | Test: 0.665 ± 0.012
