|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
    imputer_bayesian | Train: 0.679 ± 0.012 | Test: 0.675 ± 0.013
                 knn | Train: 0.635 ± 0.009 | Test: 0.624 ± 0.011
                mean | Train: 0.685 ± 0.008 | Test: 0.680 ± 0.011
              median | Train: 0.677 ± 0.007 | Test: 0.667 ± 0.015

-- Cox Vanilla --
            constant | Train: 0.681 ± 0.030 | Test: 0.608 ± 0.015
          embeddings | Train: 0.953 ± 0.002 | Test: 0.506 ± 0.075
    imputer_bayesian | Train: 0.689 ± 0.006 | Test: 0.677 ± 0.013
                 knn | Train: 0.676 ± 0.013 | Test: 0.634 ± 0.013
                mean | Train: 0.691 ± 0.014 | Test: 0.677 ± 0.013
              median | Train: 0.691 ± 0.008 | Test: 0.678 ± 0.011

-- RSF --
            constant | Train: 0.757 ± 0.004 | Test: 0.659 ± 0.013
          embeddings | Train: 0.983 ± 0.001 | Test: 0.659 ± 0.021
    imputer_bayesian | Train: 0.903 ± 0.011 | Test: 0.688 ± 0.006
                 knn | Train: 0.916 ± 0.002 | Test: 0.648 ± 0.006
                mean | Train: 0.782 ± 0.006 | Test: 0.678 ± 0.007
              median | Train: 0.745 ± 0.004 | Test: 0.674 ± 0.008
