# Aggregated over 2 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
               knn | Train: 0.549 ± 0.018 | Test: 0.534 ± 0.015
              mean | Train: 0.616 ± 0.021 | Test: 0.601 ± 0.025
            median | Train: 0.631 ± 0.007 | Test: 0.617 ± 0.018

-- Cox Vanilla --
          constant | Train: 0.694 ± 0.020 | Test: 0.540 ± 0.015
        embeddings | Train: 0.917 ± 0.005 | Test: 0.539 ± 0.028
  imputer_bayesian | Train: 0.655 ± 0.010 | Test: 0.623 ± 0.014
               knn | Train: 0.626 ± 0.013 | Test: 0.567 ± 0.017
              mean | Train: 0.647 ± 0.012 | Test: 0.622 ± 0.016
            median | Train: 0.646 ± 0.007 | Test: 0.623 ± 0.015

-- RSF --
          constant | Train: 0.764 ± 0.006 | Test: 0.611 ± 0.017
        embeddings | Train: 0.986 ± 0.002 | Test: 0.547 ± 0.015
  imputer_bayesian | Train: 0.874 ± 0.014 | Test: 0.619 ± 0.012
               knn | Train: 0.892 ± 0.011 | Test: 0.597 ± 0.012
              mean | Train: 0.739 ± 0.007 | Test: 0.628 ± 0.014
            median | Train: 0.693 ± 0.007 | Test: 0.628 ± 0.014
