# Aggregated over 2 seed(s) — ± is mean of per-seed CV std

|                      | constant      | embeddings    | imputer_bayesian | knn           | mean          | median        |
|:---------------------|:-------------|:-------------|:----------------|:-------------|:-------------|:-------------|
               knn | Train: 0.639 ± 0.013 | Test: 0.630 ± 0.015
              mean | Train: 0.678 ± 0.009 | Test: 0.673 ± 0.010
            median | Train: 0.674 ± 0.004 | Test: 0.667 ± 0.007

-- Cox Vanilla --
          constant | Train: 0.670 ± 0.028 | Test: 0.611 ± 0.018
        embeddings | Train: 0.954 ± 0.002 | Test: 0.545 ± 0.075
  imputer_bayesian | Train: 0.682 ± 0.013 | Test: 0.669 ± 0.011
               knn | Train: 0.639 ± 0.045 | Test: 0.613 ± 0.034
              mean | Train: 0.672 ± 0.030 | Test: 0.658 ± 0.029
            median | Train: 0.643 ± 0.072 | Test: 0.634 ± 0.067

-- RSF --
          constant | Train: 0.723 ± 0.005 | Test: 0.645 ± 0.013
        embeddings | Train: 0.972 ± 0.001 | Test: 0.645 ± 0.029
  imputer_bayesian | Train: 0.801 ± 0.008 | Test: 0.675 ± 0.009
               knn | Train: 0.807 ± 0.005 | Test: 0.634 ± 0.005
              mean | Train: 0.740 ± 0.006 | Test: 0.655 ± 0.010
            median | Train: 0.713 ± 0.003 | Test: 0.651 ± 0.009
