SHAP Aggregated — HURRAH | tabicl
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 4 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ANNI_MENOP                                    0.773398      0.255555
URICEMIA                                      0.761682      0.191531
FU_NF_FA                                      0.755255      0.234803
FIBRATI                                       0.752691      0.222274
PCR                                           0.738585      0.225898
OMEGA_3                                       0.731379      0.226410
ACIDO_NICOTINICO                              0.713186      0.220847
IMT                                           0.698616      0.298994
STATINA                                       0.665040      0.285413
CBV_BASE                                      0.660407      0.255576
MENOPAUSA                                     0.657293      0.234211
FAM_CV                                        0.655293      0.182849
HF_BASE                                       0.634311      0.220854
PAS                                           0.600344      0.170181
ALB_CAT                                       0.589636      0.155170
FA_BASE                                       0.548295      0.209412
NF_FA                                         0.539318      0.212344
FUMO_ATT                                      0.536408      0.202359
IMA_BASE                                      0.529767      0.198054
BMI                                           0.527298      0.215486
EZETEMIBE                                     0.513470      0.139339
ETA                                           0.490506      0.169024
PAD                                           0.482469      0.171533
PESO                                          0.474769      0.190515
CAA_DIID                                      0.472374      0.184318
TG                                            0.459631      0.189034
CT                                            0.429383      0.158144

--- cox ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ALLOPURINOLO                                  6.012886      1.495117
HCTZ                                          4.084147      0.563950
AZOTEMIA                                      1.886668      0.689790
CLORTALIDONE                                  1.833913      0.611098
HB                                            1.708120      0.468805
FIBRATI                                       1.411266      0.457904
ALTRO_CAA                                     1.385173      0.426758
SARTANI                                       0.973807      0.270976
INS_CARD                                      0.830867      0.241482
INDAPAMIDE                                    0.696161      0.311142
RESINE                                        0.591389      0.221654
IRC                                           0.582086      0.218589
ATT_FIS_H_SETT                                0.574295      0.255487
FC                                            0.525894      0.188785
CBV_BASE                                      0.485257      0.174952
GLICEMIA                                      0.475751      0.113185
HDL                                           0.469007      0.184638
GOTTA                                         0.430922      0.188516
ALB_CAT                                       0.411127      0.140987
CAA_DIID                                      0.386973      0.114316
SESSO                                         0.374906      0.108767
ALCOOL                                        0.366285      0.179259
ATT_FIS                                       0.348461      0.148292
FAM_CV                                        0.344054      0.141635
CREATININA                                    0.340812      0.100278
DIURETICI                                     0.312807      0.118397
ACIDO_NICOTINICO                              0.311608      0.072803
DELL_ANSA                                     0.308197      0.123137
VITA                                          0.305252      0.148342
ETANOLO_G_DIE                                 0.294550      0.158845
DIABETE                                       0.293802      0.105014
PLACCA                                        0.287334      0.112849
HT                                            0.283866      0.133245
NORMOMICROMACRO                               0.260844      0.096994
PAS                                           0.253703      0.076658
FAM_IPERT                                     0.249366      0.111958
IPERTESO                                      0.247761      0.081654
OMEGA_3                                       0.233137      0.115486
EZETEMIBE                                     0.231234      0.118528
HF_BASE                                       0.229502      0.092545
NF_FA                                         0.227951      0.104213
ACEI                                          0.224082      0.102228
