
Dataset: HURRAH | Model: tabicl | Seeds: 42 (aggregated, n=1)
======================================================================

Preprocess: -1
------------------------------------------------------------

  Sample size (requested):    100  |  actual mean: 100
    TEST  DS-simple (base)                  → mean: 0.8308 | std: 0.0000 | min: 0.8252 | max: 0.8401
    TRAIN DS-vanilla (base)                 → mean: 0.8539 | std: 0.0000 | min: 0.8368 | max: 0.8697
    TEST  DS-vanilla (base)                 → mean: 0.8248 | std: 0.0000 | min: 0.8143 | max: 0.8382
    TRAIN RSF (base)                        → mean: 0.9466 | std: 0.0000 | min: 0.9403 | max: 0.9495
    TEST  RSF (base)                        → mean: 0.8347 | std: 0.0000 | min: 0.8190 | max: 0.8535
    TRAIN Cox (base)                        → mean: 0.8302 | std: 0.0000 | min: 0.8194 | max: 0.8411
    TEST  Cox (base)                        → mean: 0.8238 | std: 0.0000 | min: 0.8130 | max: 0.8309

  Sample size (requested):   5000  |  actual mean: 5000
    TRAIN tabicl+DS-simple                  → mean: 0.9615 | std: 0.0000 | min: 0.9570 | max: 0.9663
    TEST  tabicl+DS-simple                  → mean: 0.7802 | std: 0.0000 | min: 0.7628 | max: 0.7950
    TRAIN tabicl+DS-vanilla                 → mean: 0.9593 | std: 0.0000 | min: 0.9551 | max: 0.9634
    TEST  tabicl+DS-vanilla                 → mean: 0.7761 | std: 0.0000 | min: 0.7670 | max: 0.7896
    TRAIN tabicl+RSF                        → mean: 0.9836 | std: 0.0000 | min: 0.9825 | max: 0.9846
    TEST  tabicl+RSF                        → mean: 0.7125 | std: 0.0000 | min: 0.6736 | max: 0.7347
    TRAIN tabicl+Cox                        → mean: 0.9662 | std: 0.0000 | min: 0.9642 | max: 0.9684
    TEST  tabicl+Cox                        → mean: 0.7578 | std: 0.0000 | min: 0.7428 | max: 0.7772
    TRAIN DS-simple (base)                  → mean: 0.8365 | std: 0.0000 | min: 0.8261 | max: 0.8463
    TEST  DS-simple (base)                  → mean: 0.8307 | std: 0.0000 | min: 0.8215 | max: 0.8407
    TRAIN DS-vanilla (base)                 → mean: 0.8458 | std: 0.0000 | min: 0.8255 | max: 0.8626
