SHAP — HURRAH | tabpfn | preprocess: NaN | seed: 789
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ANNI_MENOP                                0.324133       0.070593
NORMOMICROMACRO                           0.320875       0.113385
GOTTA                                     0.315615       0.173927
BMI                                       0.272808       0.107759
DIURETICI                                 0.265085       0.089455
DELL_ANSA                                 0.262679       0.121142
PAD                                       0.261917       0.034237
ALTRO_CAA                                 0.252089       0.084530
ACEI                                      0.251938       0.077170
RESINE                                    0.244280       0.076027
IPERTESO                                  0.235512       0.086762
HDL                                       0.227998       0.110799
IRC                                       0.221703       0.080068
ACIDO_NICOTINICO                          0.217464       0.081262
CBV_BASE                                  0.213307       0.110910
ALLOPURINOLO                              0.212488       0.075563
HF_BASE                                   0.197789       0.074988
FIBRATI                                   0.190883       0.078310
ALB_CAT                                   0.183331       0.066335
EXFUMO                                    0.183236       0.078201
CLORTALIDONE                              0.179146       0.076557
IMA_BASE                                  0.175893       0.044891
FU_NF_FA                                  0.162580       0.026577

--- cox ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       1.490944       0.446486
FAM_IPERT                                 0.381581       0.119966
GLICEMIA                                  0.290205       0.164935
INS_CARD                                  0.253475       0.098774
FAM_CV                                    0.245810       0.120312
HCTZ                                      0.165647       0.084659
ALCOOL                                    0.164384       0.075586
STATINA                                   0.132741       0.052288
OMEGA_3                                   0.102171       0.033241
PESO                                      0.090426       0.050057
ACEI                                      0.089044       0.074516
SARTANI                                   0.081680       0.022280
AZOTEMIA                                  0.078060       0.019969
CREATININA                                0.077634       0.031045
HB                                        0.072435       0.021483
URICEMIA                                  0.072412       0.017240
SESSO                                     0.066335       0.040437
IMT                                       0.064281       0.023802
PAS                                       0.062510       0.031520
PLACCA                                    0.057071       0.052459
EZETEMIBE                                 0.052437       0.025940
BETABLOCCANTI                             0.051813       0.033079
ATT_FIS                                   0.048341       0.019364
NF_FA                                     0.046293       0.029460
INDAPAMIDE                                0.046207       0.030295
DIABETE                                   0.044933       0.028061
TG                                        0.044441       0.039728
FC                                        0.043163       0.014484
DIURETICI                                 0.041642       0.032040
HT                                        0.038102       0.021540
BMI                                       0.037180       0.007479
ATT_FIS_H_SETT                            0.035680       0.016102
FUMO_ATT                                  0.035300       0.019899
DELL_ANSA                                 0.034705       0.020731
ETANOLO_G_DIE                             0.034377       0.017856
IPERTESO                                  0.034302       0.013731
CAA_DIID                                  0.028672       0.010139
CT                                        0.027883       0.013597
ALTRO_CAA                                 0.027591       0.018573
FA_BASE                                   0.026476       0.017109
