SHAP — HURRAH | tabpfn | preprocess: NaN | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.722374       0.049959
HCTZ                                      0.154919       0.044670
FA_BASE                                   0.117069       0.065640
STATINA                                   0.068708       0.036031
URICEMIA                                  0.058373       0.015135
CREATININA                                0.054198       0.018529
FUMO_ATT                                  0.050296       0.012378
ALCOOL                                    0.047040       0.032432
FAM_CV                                    0.037927       0.014419
PAS                                       0.036161       0.011560
ATT_FIS                                   0.034396       0.011959
INS_CARD                                  0.031352       0.009753
VITA                                      0.027737       0.015460
AZOTEMIA                                  0.026941       0.016664
ATT_FIS_H_SETT                            0.024720       0.005271
SARTANI                                   0.023896       0.010189
OMEGA_3                                   0.022724       0.010524
GLICEMIA                                  0.022462       0.002448
PESO                                      0.021316       0.006432
PAD                                       0.020214       0.025554
SESSO                                     0.018328       0.016257
ACIDO_NICOTINICO                          0.017626       0.008356
FC                                        0.016821       0.010376
IMT                                       0.016741       0.006353
DIABETE                                   0.016690       0.002366
TG                                        0.016610       0.008926
IPERTESO                                  0.016449       0.007984
ACEI                                      0.015964       0.005382
BMI                                       0.015885       0.004934
ANNI_MENOP                                0.014479       0.004166
ETANOLO_G_DIE                             0.014022       0.004185
PCR                                       0.013578       0.008618
EXFUMO                                    0.012191       0.004628
DELL_ANSA                                 0.011469       0.004044
HT                                        0.010819       0.002745
ALTEZZA                                   0.010748       0.003902
DIURETICI                                 0.010314       0.004209
FAM_IPERT                                 0.010299       0.004278
NORMOMICROMACRO                           0.009666       0.003713
ALLOPURINOLO                              0.009448       0.004503
EZETEMIBE                                 0.009287       0.003642
RESINE                                    0.009218       0.003907
PLACCA                                    0.008971       0.002185
INDAPAMIDE                                0.008897       0.003522
GOTTA                                     0.008719       0.003072
HB                                        0.008638       0.004124
CT                                        0.008095       0.002352
CAA_DIID                                  0.007862       0.001249
MENOPAUSA                                 0.007845       0.002263
FIBRATI                                   0.006902       0.004114
FU_NF_FA                                  0.006787       0.001970
BETABLOCCANTI                             0.006450       0.001847
CBV_BASE                                  0.006359       0.001474
HF_BASE                                   0.006275       0.001555
IMA_BASE                                  0.006039       0.003469
IRC                                       0.005535       0.003352
HDL                                       0.004723       0.000814
CLORTALIDONE                              0.004443       0.002520
ALTRO_CAA                                 0.004309       0.002268
ALB_CAT                                   0.004227       0.000992
NF_FA                                     0.004029       0.002158

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.640205       0.165005
HCTZ                                      0.138886       0.082789
FA_BASE                                   0.078874       0.088384
ALCOOL                                    0.066366       0.042828
CREATININA                                0.053022       0.016012
ATT_FIS                                   0.038298       0.018381
INS_CARD                                  0.037162       0.007175
ATT_FIS_H_SETT                            0.034443       0.019699
URICEMIA                                  0.034272       0.016665
FUMO_ATT                                  0.032702       0.015314
STATINA                                   0.028933       0.009188
PAS                                       0.027642       0.007915
ACEI                                      0.027359       0.015013
PESO                                      0.022457       0.003980
FAM_CV                                    0.022183       0.009926
VITA                                      0.020653       0.013878
GLICEMIA                                  0.019595       0.008452
PAD                                       0.019552       0.016318
DIABETE                                   0.017766       0.005133
ETANOLO_G_DIE                             0.017356       0.011027
BMI                                       0.017207       0.007275
TG                                        0.016837       0.006565
SESSO                                     0.016630       0.009233
FAM_IPERT                                 0.016538       0.009497
AZOTEMIA                                  0.016256       0.003195
SARTANI                                   0.015735       0.007450
OMEGA_3                                   0.014535       0.011283
EZETEMIBE                                 0.012574       0.007430
HT                                        0.012431       0.005018
ALLOPURINOLO                              0.012410       0.009218
FC                                        0.012213       0.004253
IMT                                       0.011884       0.005943
ACIDO_NICOTINICO                          0.011864       0.006476
EXFUMO                                    0.011572       0.004205
DIURETICI                                 0.010931       0.003969
DELL_ANSA                                 0.010652       0.002440
CT                                        0.010523       0.010182
ALTEZZA                                   0.010409       0.005352
NORMOMICROMACRO                           0.010231       0.004874
RESINE                                    0.010230       0.005254
HB                                        0.009468       0.008497
IPERTESO                                  0.009010       0.003223
BETABLOCCANTI                             0.008985       0.006076
ANNI_MENOP                                0.008096       0.002092
PCR                                       0.008027       0.003222
INDAPAMIDE                                0.008014       0.004127
CBV_BASE                                  0.007758       0.006092
MENOPAUSA                                 0.007324       0.003062
PLACCA                                    0.007041       0.001299
GOTTA                                     0.006830       0.002902
HDL                                       0.006749       0.002123
ALTRO_CAA                                 0.006575       0.003294
CAA_DIID                                  0.006430       0.003670
CLORTALIDONE                              0.006373       0.003653
IRC                                       0.006249       0.002331
FU_NF_FA                                  0.005585       0.002988
ALB_CAT                                   0.005279       0.001764
FIBRATI                                   0.004569       0.003121
HF_BASE                                   0.004361       0.001767
NF_FA                                     0.004173       0.002018
IMA_BASE                                  0.004171       0.002696

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      25.972427       2.401067
HCTZ                                      4.149251       0.891590
ALCOOL                                    3.782050       1.569017
FA_BASE                                   2.565270       0.770861
CREATININA                                1.967803       0.831368
ATT_FIS                                   1.620646       0.645289
