SHAP — HURRAH | tabpfn | preprocess: -1 | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
NF_FA                                     0.294017       0.074134
CT                                        0.290762       0.243170
BMI                                       0.289870       0.132516
ACEI                                      0.287582       0.154687
PAS                                       0.279504       0.107128
PCR                                       0.279439       0.127828
BETABLOCCANTI                             0.278888       0.084196
FIBRATI                                   0.272950       0.107918
FAM_IPERT                                 0.265155       0.074651
IRC                                       0.258812       0.049002
FA_BASE                                   0.257569       0.055792
ALLOPURINOLO                              0.255621       0.086134
ALTRO_CAA                                 0.244676       0.110713
ALB_CAT                                   0.227005       0.115841
ATT_FIS                                   0.225087       0.071011
PESO                                      0.223470       0.113588
IMA_BASE                                  0.221296       0.098458
IPERTESO                                  0.196572       0.100912
ANNI_MENOP                                0.193337       0.099470
FAM_CV                                    0.190174       0.097613
CBV_BASE                                  0.169251       0.060936
HF_BASE                                   0.160551       0.097019
FU_NF_FA                                  0.156542       0.042899
MENOPAUSA                                 0.133506       0.025506

--- cox ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       2.755377       0.751490
INS_CARD                                  0.545936       0.328413
SESSO                                     0.460474       0.127551
CLORTALIDONE                              0.426086       0.273981
DELL_ANSA                                 0.339165       0.195856
HCTZ                                      0.290508       0.122825
RESINE                                    0.285363       0.067978
AZOTEMIA                                  0.283176       0.165053
INDAPAMIDE                                0.249265       0.106600
SARTANI                                   0.197536       0.114265
ALCOOL                                    0.151386       0.063380
CREATININA                                0.146201       0.060060
HT                                        0.140743       0.096808
PLACCA                                    0.138356       0.082753
DIABETE                                   0.137006       0.078715
FUMO_ATT                                  0.126342       0.065439
EXFUMO                                    0.121984       0.043537
FAM_IPERT                                 0.119924       0.080819
URICEMIA                                  0.112189       0.049827
IMT                                       0.109154       0.037377
FC                                        0.107388       0.072999
ALTEZZA                                   0.101448       0.039270
ALTRO_CAA                                 0.097143       0.042167
GOTTA                                     0.087916       0.034694
STATINA                                   0.085688       0.019511
OMEGA_3                                   0.085045       0.030114
EZETEMIBE                                 0.066491       0.029380
TG                                        0.061911       0.049848
ETANOLO_G_DIE                             0.061060       0.060344
FA_BASE                                   0.060876       0.024921
BMI                                       0.060761       0.018317
CAA_DIID                                  0.058333       0.026082
PCR                                       0.057698       0.020630
HB                                        0.056474       0.020326
PESO                                      0.055727       0.044295
CT                                        0.054903       0.027257
VITA                                      0.054418       0.023642
NF_FA                                     0.051930       0.017834
FU_NF_FA                                  0.051115       0.034510
FIBRATI                                   0.049338       0.025610
BETABLOCCANTI                             0.048693       0.016363
GLICEMIA                                  0.048004       0.025966
HF_BASE                                   0.046672       0.039925
ACEI                                      0.045814       0.022935
IMA_BASE                                  0.045283       0.016908
ALB_CAT                                   0.043393       0.018445
FAM_CV                                    0.042604       0.036665
ACIDO_NICOTINICO                          0.040788       0.033158
NORMOMICROMACRO                           0.039000       0.027246
HDL                                       0.038317       0.011595
ATT_FIS_H_SETT                            0.036453       0.021023
IRC                                       0.036442       0.020283
PAD                                       0.035662       0.014701
CBV_BASE                                  0.033303       0.010864
IPERTESO                                  0.032044       0.016210
PAS                                       0.030622       0.023761
DIURETICI                                 0.028770       0.010133
ATT_FIS                                   0.028561       0.013972
MENOPAUSA                                 0.026731       0.014498
ANNI_MENOP                                0.025568       0.007705
ALLOPURINOLO                              0.021701       0.009335

--- deepsurv_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.741828       0.142542
RESINE                                    0.141033       0.048466
SESSO                                     0.101216       0.019947
CLORTALIDONE                              0.078890       0.021569
AZOTEMIA                                  0.076216       0.020769
INS_CARD                                  0.070903       0.019696
HCTZ                                      0.066386       0.017932
EXFUMO                                    0.062064       0.010420
FUMO_ATT                                  0.059894       0.027871
ALCOOL                                    0.053950       0.021749
INDAPAMIDE                                0.050908       0.010178
SARTANI                                   0.050229       0.015382
PLACCA                                    0.049340       0.024299
IMT                                       0.044281       0.023530
STATINA                                   0.039991       0.010232
CREATININA                                0.039519       0.017389
HT                                        0.034157       0.011618
DIABETE                                   0.028620       0.008567
OMEGA_3                                   0.025352       0.003914
DELL_ANSA                                 0.024717       0.005568
