dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
HURRAH	tabpfn	789	-1	100	100	tab_deepsurv_simple	0.9639802122021113	0.01330765448285988	0.7450648186637185	0.04126774402818102
HURRAH	tabpfn	789	-1	100	100	tab_deepsurv_vanilla	0.9740777073614273	0.006463089053245029	0.7404223017264535	0.040029644491457204
HURRAH	tabpfn	789	-1	100	100	tab_rsf	0.9759848064212244	0.01094279088690934	0.7429938726586108	0.03846767850461067
HURRAH	tabpfn	789	-1	100	100	tab_cox	0.9921864948489783	0.003039581999968046	0.7171680903743903	0.03460055914214478
HURRAH	tabpfn	789	-1	100	100	deepsurv_simple	0.9128423097825777	0.02928875674563976	0.7035959898043489	0.0579656307888029
HURRAH	tabpfn	789	-1	100	100	deepsurv_vanilla	0.8238996375941848	0.05382457089405474	0.631909334544177	0.048740972805930254
HURRAH	tabpfn	789	-1	100	100	rsf	0.9816491308199741	0.010945038944241528	0.7280113360928807	0.036362753712190235
HURRAH	tabpfn	789	-1	100	100	cox	0.9456496858411232	0.02115877529433137	0.7359826496624866	0.052723183930748665
HURRAH	tabpfn	789	-1	500	500	tab_deepsurv_simple	0.9531779706961258	0.0049272369158445024	0.8140019166017698	0.01669152536359969
HURRAH	tabpfn	789	-1	500	500	tab_deepsurv_vanilla	0.9566288886354586	0.003965931408034788	0.8058768264095102	0.020254613511953318
HURRAH	tabpfn	789	-1	500	500	tab_rsf	0.9842654586197911	0.003624046658449163	0.7826410946507381	0.020801052528346915
HURRAH	tabpfn	789	-1	500	500	tab_cox	0.9654464884374251	0.004849884126219885	0.6777868646501799	0.10769970483459257
HURRAH	tabpfn	789	-1	500	500	deepsurv_simple	0.8688950513403322	0.014382796924095246	0.8068533378108727	0.013989315039896722
HURRAH	tabpfn	789	-1	500	500	deepsurv_vanilla	0.8619622124535893	0.03457080910516059	0.7619843824034664	0.03759754313493566
HURRAH	tabpfn	789	-1	500	500	rsf	0.9579672115136555	0.011372231151925259	0.7895903735002442	0.012135042595331018
HURRAH	tabpfn	789	-1	500	500	cox	0.8608703471977085	0.011307308128447218	0.8011509261029746	0.019516060737817215
HURRAH	tabpfn	789	-1	1000	1000	tab_deepsurv_simple	0.949782713616738	0.004564405979394035	0.8309204755657431	0.007886752956175382
