SHAP — HURRAH | tabpfn | preprocess: NaN | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.735561       0.123709
INS_CARD                                  0.151293       0.044975
ALCOOL                                    0.080254       0.022384
FA_BASE                                   0.065084       0.023296
CLORTALIDONE                              0.062686       0.021252
STATINA                                   0.061033       0.024331
GLICEMIA                                  0.057908       0.019535
PAS                                       0.057462       0.018048
OMEGA_3                                   0.054837       0.017646
ETANOLO_G_DIE                             0.047628       0.015685
SARTANI                                   0.042405       0.008196
IMT                                       0.040364       0.021329
FAM_CV                                    0.039945       0.013431
HCTZ                                      0.035242       0.015884
PCR                                       0.030631       0.012841
SESSO                                     0.030166       0.012824
URICEMIA                                  0.027431       0.009220
PLACCA                                    0.024174       0.005554
HB                                        0.023534       0.005728
FC                                        0.021993       0.009396
ATT_FIS_H_SETT                            0.021668       0.013751
CREATININA                                0.021535       0.007125
AZOTEMIA                                  0.021213       0.006510
ATT_FIS                                   0.020672       0.013438
FUMO_ATT                                  0.018399       0.007547
NORMOMICROMACRO                           0.016379       0.006526
MENOPAUSA                                 0.016203       0.007383
FAM_IPERT                                 0.015637       0.005448
ALTEZZA                                   0.015198       0.005463
PAD                                       0.015140       0.003765
VITA                                      0.014674       0.005954
INDAPAMIDE                                0.013487       0.002227
BETABLOCCANTI                             0.013332       0.007065
GOTTA                                     0.013313       0.004486
DIABETE                                   0.012965       0.003386
ANNI_MENOP                                0.012632       0.002991
HT                                        0.012530       0.005361
ACIDO_NICOTINICO                          0.012338       0.005692
ALB_CAT                                   0.011992       0.007153
TG                                        0.011854       0.004799
CAA_DIID                                  0.011202       0.005992
EXFUMO                                    0.011137       0.005059
HDL                                       0.009687       0.004976
PESO                                      0.009447       0.003123
BMI                                       0.009390       0.003592
CT                                        0.009124       0.006347
IPERTESO                                  0.008902       0.002358
ALTRO_CAA                                 0.008759       0.003390
IRC                                       0.008342       0.002173
NF_FA                                     0.007823       0.002457
FIBRATI                                   0.007496       0.003985
DELL_ANSA                                 0.007452       0.004584
DIURETICI                                 0.007226       0.001562
IMA_BASE                                  0.007045       0.002539
ALLOPURINOLO                              0.006961       0.002440
HF_BASE                                   0.006957       0.001186
ACEI                                      0.006904       0.002556
EZETEMIBE                                 0.006882       0.002486
CBV_BASE                                  0.006787       0.002203
RESINE                                    0.005697       0.002565
FU_NF_FA                                  0.004930       0.001870

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.898609       0.424054
INS_CARD                                  0.191293       0.041400
CLORTALIDONE                              0.109391       0.066968
FA_BASE                                   0.101621       0.067157
ALCOOL                                    0.088995       0.017588
GLICEMIA                                  0.087058       0.034635
STATINA                                   0.077083       0.076839
OMEGA_3                                   0.068902       0.037563
ETANOLO_G_DIE                             0.066590       0.029095
PAS                                       0.061925       0.047168
IMT                                       0.060813       0.046889
FAM_CV                                    0.056657       0.033260
SARTANI                                   0.054552       0.024098
HCTZ                                      0.051262       0.037871
ATT_FIS_H_SETT                            0.047953       0.024131
HT                                        0.037982       0.029446
PLACCA                                    0.036999       0.011524
SESSO                                     0.033333       0.018513
PCR                                       0.030840       0.025045
CREATININA                                0.030687       0.011302
URICEMIA                                  0.029141       0.012552
HB                                        0.029066       0.009469
ALTEZZA                                   0.028913       0.017001
FAM_IPERT                                 0.028305       0.016480
MENOPAUSA                                 0.024630       0.021035
INDAPAMIDE                                0.023126       0.018478
ATT_FIS                                   0.023041       0.014189
CAA_DIID                                  0.022435       0.019781
DIABETE                                   0.022355       0.012258
FC                                        0.022114       0.008186
GOTTA                                     0.021989       0.011190
IPERTESO                                  0.021725       0.022549
PAD                                       0.021148       0.006281
FUMO_ATT                                  0.021042       0.016629
AZOTEMIA                                  0.019089       0.005207
ACIDO_NICOTINICO                          0.018166       0.013070
BETABLOCCANTI                             0.017185       0.009712
HDL                                       0.016947       0.008280
VITA                                      0.015685       0.008890
DELL_ANSA                                 0.015353       0.001476
ANNI_MENOP                                0.015333       0.007183
ALTRO_CAA                                 0.015329       0.011751
NORMOMICROMACRO                           0.015134       0.005500
BMI                                       0.015109       0.005034
CBV_BASE                                  0.013711       0.006545
EZETEMIBE                                 0.013437       0.007196
PESO                                      0.013424       0.006261
EXFUMO                                    0.013192       0.009243
ALB_CAT                                   0.013034       0.006062
FIBRATI                                   0.012878       0.003240
NF_FA                                     0.011873       0.008622
TG                                        0.011058       0.005097
ACEI                                      0.010786       0.002579
HF_BASE                                   0.010702       0.005420
RESINE                                    0.010451       0.008190
IRC                                       0.010364       0.005668
DIURETICI                                 0.010245       0.004894
ALLOPURINOLO                              0.010178       0.003739
CT                                        0.010140       0.005688
IMA_BASE                                  0.009595       0.005353
FU_NF_FA                                  0.008631       0.001220

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      16.223012       3.530799
INS_CARD                                  3.846798       0.598695
ALCOOL                                    2.403536       0.879543
GLICEMIA                                  2.173718       0.649393
CLORTALIDONE                              2.149265       0.396898
HB                                        1.438202       0.244169
