dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
HURRAH	tabpfn	77	-1	100	100	tab_deepsurv_simple	0.9541165844119746	0.011034799761402217	0.7523107958198174	0.02263425622517648
HURRAH	tabpfn	77	-1	100	100	tab_deepsurv_vanilla	0.9643585472637373	0.010880299206608613	0.7569080440625349	0.026989994682497038
HURRAH	tabpfn	77	-1	100	100	tab_rsf	0.966014780285598	0.005990641736173728	0.748706453014291	0.026104769166407082
HURRAH	tabpfn	77	-1	100	100	tab_cox	0.9818216822471506	0.005727731149607801	0.6431553339627539	0.09551318237667723
HURRAH	tabpfn	77	-1	100	100	deepsurv_simple	0.8696674823397386	0.038773282084528064	0.7262950103002876	0.03771468001480219
HURRAH	tabpfn	77	-1	100	100	deepsurv_vanilla	0.8329293955346669	0.028669677673330663	0.6608108790808845	0.02518400473916766
HURRAH	tabpfn	77	-1	100	100	rsf	0.9772318131962205	0.01158722427856133	0.7233191563649506	0.018120610225522617
HURRAH	tabpfn	77	-1	100	100	cox	0.9340495481012359	0.017607504923688205	0.7353922405713724	0.013595805674766242
HURRAH	tabpfn	77	-1	500	500	tab_deepsurv_simple	0.9548413520209126	0.0027109221434452003	0.8125124613196425	0.009689900484626158
HURRAH	tabpfn	77	-1	500	500	tab_deepsurv_vanilla	0.9605179852332635	0.003465886095855936	0.8134699742431636	0.010404589636603243
HURRAH	tabpfn	77	-1	500	500	tab_rsf	0.9861673351651122	0.002940464163366253	0.7865629315151803	0.01801338104429198
HURRAH	tabpfn	77	-1	500	500	tab_cox	0.969856871028241	0.0031952367105207687	0.6965819550133	0.18257296619730648
HURRAH	tabpfn	77	-1	500	500	deepsurv_simple	0.8707213078036901	0.016173543792706732	0.8065226611746577	0.010299067026635935
HURRAH	tabpfn	77	-1	500	500	deepsurv_vanilla	0.8586532050213972	0.022522751296573967	0.7619698034182387	0.03303303886165073
HURRAH	tabpfn	77	-1	500	500	rsf	0.9629868440726517	0.00682894546229565	0.7861699535620992	0.014147089361571103
HURRAH	tabpfn	77	-1	500	500	cox	0.8656284137694337	0.018660019758223716	0.8044481061849706	0.006377869067407378
HURRAH	tabpfn	77	-1	1000	1000	tab_deepsurv_simple	0.9541758432501076	0.0029759077848660388	0.824951040363295	0.008746422308130976
HURRAH	tabpfn	77	-1	1000	1000	tab_deepsurv_vanilla	0.958902633337399	0.004895678102346637	0.8171196324494714	0.014924386813008155
HURRAH	tabpfn	77	-1	1000	1000	tab_rsf	0.988232608043963	0.0014066517669503742	0.7974045210270772	0.012367258497630944
HURRAH	tabpfn	77	-1	1000	1000	tab_cox	0.9655448396863742	0.002005050856925667	0.7385947216712202	0.04725986499989766
HURRAH	tabpfn	77	-1	1000	1000	deepsurv_simple	0.8567237822340139	0.00898230458311776	0.8221372074649722	0.009139558322508508
HURRAH	tabpfn	77	-1	1000	1000	deepsurv_vanilla	0.8623266496854821	0.008545241115486518	0.8018038077518306	0.009300415534533514
HURRAH	tabpfn	77	-1	1000	1000	rsf	0.960641162043532	0.0032538386139351404	0.8102983589891206	0.008307832155957031
HURRAH	tabpfn	77	-1	1000	1000	cox	0.8494782021364395	0.012096849098676192	0.817020444543038	0.008153957036159697
HURRAH	tabpfn	77	-1	2500	2500	tab_deepsurv_simple	0.9524554132812039	0.001490606733939516	0.8373910938314797	0.00511992579097689
HURRAH	tabpfn	77	-1	2500	2500	tab_deepsurv_vanilla	0.9549391280954056	0.0020891645080622283	0.8231425246931832	0.010573510514590866
HURRAH	tabpfn	77	-1	2500	2500	tab_rsf	0.9858574814429002	0.000993996296832905	0.8264145991226682	0.010106820531606636
HURRAH	tabpfn	77	-1	2500	2500	tab_cox	0.9617689393663061	0.002299567026999812	0.8233326862305749	0.013268285056837373
HURRAH	tabpfn	77	-1	2500	2500	deepsurv_simple	0.8506602128045164	0.0025586054057000116	0.8316937904636488	0.004690389110896875
