SHAP — HURRAH | tabpfn | preprocess: -1 | seed: 789
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.910492       0.235873
AZOTEMIA                                  0.140529       0.048057
INDAPAMIDE                                0.098957       0.038083
ALCOOL                                    0.096098       0.034830
SARTANI                                   0.085944       0.016895
STATINA                                   0.068563       0.041836
PLACCA                                    0.068454       0.029019
ACIDO_NICOTINICO                          0.059899       0.026119
EZETEMIBE                                 0.054436       0.025152
FUMO_ATT                                  0.049612       0.024847
HB                                        0.046276       0.012917
IMT                                       0.045785       0.005520
SESSO                                     0.043113       0.010781
OMEGA_3                                   0.042230       0.021830
CREATININA                                0.038002       0.008705
HT                                        0.037815       0.008070
INS_CARD                                  0.036628       0.005811
DIABETE                                   0.034509       0.007857
ATT_FIS_H_SETT                            0.031115       0.018099
URICEMIA                                  0.030705       0.009693
DELL_ANSA                                 0.029450       0.014763
FIBRATI                                   0.027310       0.021338
PAD                                       0.027052       0.016790
HCTZ                                      0.026985       0.006844
PAS                                       0.024987       0.015268
GOTTA                                     0.022960       0.009580
CLORTALIDONE                              0.019183       0.007793
IRC                                       0.018689       0.010949
ETANOLO_G_DIE                             0.018382       0.010704
BMI                                       0.018305       0.011149
ALTEZZA                                   0.017647       0.007161
CT                                        0.017631       0.006569
FAM_CV                                    0.017614       0.005720
ACEI                                      0.017126       0.003109
ALLOPURINOLO                              0.016888       0.007433
CAA_DIID                                  0.016277       0.007714
GLICEMIA                                  0.015816       0.005842
ALTRO_CAA                                 0.015417       0.009533
FC                                        0.015390       0.005747
VITA                                      0.015165       0.004280
TG                                        0.015158       0.007025
PESO                                      0.014534       0.006945
FAM_IPERT                                 0.014058       0.003217
BETABLOCCANTI                             0.013742       0.006509
MENOPAUSA                                 0.013417       0.004117
NF_FA                                     0.012972       0.004140
DIURETICI                                 0.012120       0.005647
NORMOMICROMACRO                           0.012063       0.006946
IMA_BASE                                  0.011691       0.004573
FU_NF_FA                                  0.010908       0.003234
ALB_CAT                                   0.010019       0.002142
HDL                                       0.010001       0.003553
PCR                                       0.009850       0.005405
IPERTESO                                  0.009715       0.003549
FA_BASE                                   0.009575       0.004258
RESINE                                    0.009430       0.003265
ANNI_MENOP                                0.009338       0.003822
HF_BASE                                   0.009293       0.002183
EXFUMO                                    0.009265       0.003298
CBV_BASE                                  0.008676       0.005344
ATT_FIS                                   0.008435       0.002017

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.547444       0.183826
SARTANI                                   0.124685       0.057384
AZOTEMIA                                  0.099725       0.052155
ACIDO_NICOTINICO                          0.075722       0.055412
INDAPAMIDE                                0.067358       0.031172
ALCOOL                                    0.064072       0.012205
PLACCA                                    0.061107       0.027178
ATT_FIS_H_SETT                            0.049890       0.036309
HT                                        0.048664       0.019389
EZETEMIBE                                 0.047079       0.029228
HB                                        0.046567       0.017596
STATINA                                   0.040985       0.015488
SESSO                                     0.037980       0.023687
INS_CARD                                  0.036192       0.006986
OMEGA_3                                   0.033386       0.019451
FUMO_ATT                                  0.033312       0.020440
CREATININA                                0.029965       0.008967
DELL_ANSA                                 0.028799       0.007012
FIBRATI                                   0.026775       0.022375
ALTRO_CAA                                 0.025448       0.019684
ACEI                                      0.024880       0.009522
BETABLOCCANTI                             0.024695       0.013772
GLICEMIA                                  0.024639       0.007681
DIABETE                                   0.023521       0.006519
FAM_CV                                    0.023390       0.009585
ALLOPURINOLO                              0.023275       0.004057
IMT                                       0.020019       0.008157
VITA                                      0.019715       0.007688
ALTEZZA                                   0.019276       0.010030
PAS                                       0.019204       0.005816
HCTZ                                      0.016441       0.006564
GOTTA                                     0.016404       0.007502
IRC                                       0.015840       0.011794
URICEMIA                                  0.014951       0.010528
IPERTESO                                  0.014656       0.005144
CLORTALIDONE                              0.014298       0.009240
FA_BASE                                   0.013851       0.011930
PAD                                       0.013310       0.004310
DIURETICI                                 0.012755       0.006371
BMI                                       0.012621       0.008777
CT                                        0.012491       0.004735
FC                                        0.011889       0.006116
ETANOLO_G_DIE                             0.011799       0.005842
CAA_DIID                                  0.011731       0.006130
FAM_IPERT                                 0.011645       0.005943
NF_FA                                     0.011536       0.006944
TG                                        0.011492       0.003048
RESINE                                    0.011359       0.003218
MENOPAUSA                                 0.011306       0.011501
PCR                                       0.011164       0.004963
ANNI_MENOP                                0.010304       0.005546
IMA_BASE                                  0.010002       0.005602
NORMOMICROMACRO                           0.009536       0.004293
HF_BASE                                   0.009488       0.005586
EXFUMO                                    0.009104       0.002056
PESO                                      0.008781       0.004657
HDL                                       0.008722       0.002313
ALB_CAT                                   0.008260       0.002826
ATT_FIS                                   0.007719       0.003945
FU_NF_FA                                  0.007416       0.004635
CBV_BASE                                  0.005922       0.001005

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      14.564579       2.679490
AZOTEMIA                                  3.762656       1.095780
SARTANI                                   2.524930       0.499753
ALCOOL                                    2.370003       0.550330
ACIDO_NICOTINICO                          1.592582       0.824416
PLACCA                                    1.410668       0.637110
