SHAP — HURRAH | tabpfn | preprocess: -1 | seed: 42
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.890986       0.191982
ACIDO_NICOTINICO                          0.151634       0.073094
AZOTEMIA                                  0.128653       0.050742
INS_CARD                                  0.091014       0.012371
FUMO_ATT                                  0.080854       0.027007
SESSO                                     0.063868       0.020834
FA_BASE                                   0.054762       0.026196
STATINA                                   0.054245       0.018602
NF_FA                                     0.048012       0.022850
HT                                        0.046513       0.019173
PESO                                      0.044353       0.010264
SARTANI                                   0.043933       0.014993
INDAPAMIDE                                0.042847       0.017709
ALCOOL                                    0.039095       0.016491
PAS                                       0.036088       0.015004
ALTRO_CAA                                 0.035442       0.024295
PLACCA                                    0.035314       0.023808
IMT                                       0.034007       0.011939
ETANOLO_G_DIE                             0.032251       0.011646
ATT_FIS_H_SETT                            0.031372       0.005385
FAM_CV                                    0.028903       0.007283
GOTTA                                     0.028676       0.021099
OMEGA_3                                   0.026675       0.010406
DIABETE                                   0.025006       0.006597
EXFUMO                                    0.023028       0.008447
IRC                                       0.022639       0.007141
CAA_DIID                                  0.022214       0.009919
ALLOPURINOLO                              0.022124       0.006740
FC                                        0.021904       0.005194
URICEMIA                                  0.021613       0.012452
CREATININA                                0.021222       0.014274
CT                                        0.020445       0.009521
HB                                        0.019562       0.007146
FIBRATI                                   0.019513       0.006920
CLORTALIDONE                              0.018882       0.011129
IPERTESO                                  0.018475       0.002994
ACEI                                      0.018141       0.008291
HCTZ                                      0.016223       0.004255
GLICEMIA                                  0.015977       0.006692
EZETEMIBE                                 0.015886       0.004472
ALTEZZA                                   0.015695       0.008512
PAD                                       0.015476       0.010414
FU_NF_FA                                  0.015370       0.006135
VITA                                      0.015259       0.007414
ATT_FIS                                   0.015088       0.009159
TG                                        0.014278       0.003842
FAM_IPERT                                 0.014146       0.002617
DELL_ANSA                                 0.013793       0.004490
BMI                                       0.013765       0.002915
PCR                                       0.013642       0.003237
NORMOMICROMACRO                           0.013487       0.004018
HDL                                       0.013208       0.005556
ALB_CAT                                   0.013167       0.004751
IMA_BASE                                  0.011950       0.002474
RESINE                                    0.011171       0.006728
MENOPAUSA                                 0.011054       0.004658
ANNI_MENOP                                0.010747       0.006017
CBV_BASE                                  0.010643       0.002783
HF_BASE                                   0.010437       0.003368
DIURETICI                                 0.009599       0.001624
BETABLOCCANTI                             0.009162       0.004102

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       1.734930       1.476018
ACIDO_NICOTINICO                          0.505415       0.288853
INS_CARD                                  0.412416       0.408816
FUMO_ATT                                  0.363890       0.311883
INDAPAMIDE                                0.330511       0.241521
AZOTEMIA                                  0.306485       0.175497
FAM_CV                                    0.202474       0.113435
SESSO                                     0.197322       0.114259
STATINA                                   0.191400       0.132220
ETANOLO_G_DIE                             0.162133       0.110886
ALCOOL                                    0.145153       0.093136
PAS                                       0.142628       0.122909
CREATININA                                0.133016       0.114422
HT                                        0.132954       0.089322
NF_FA                                     0.132250       0.095828
SARTANI                                   0.129767       0.089582
URICEMIA                                  0.124911       0.113120
EXFUMO                                    0.110956       0.051407
HB                                        0.104370       0.086506
FA_BASE                                   0.103333       0.083193
ATT_FIS_H_SETT                            0.101768       0.033030
FC                                        0.098461       0.090602
GLICEMIA                                  0.097111       0.082181
DIABETE                                   0.095716       0.081934
ALTRO_CAA                                 0.093684       0.072601
RESINE                                    0.091520       0.059396
PLACCA                                    0.088925       0.051884
PESO                                      0.085500       0.039343
IMT                                       0.081954       0.048128
BETABLOCCANTI                             0.080920       0.078055
VITA                                      0.076176       0.055584
GOTTA                                     0.070932       0.028724
DIURETICI                                 0.070760       0.046794
FAM_IPERT                                 0.069875       0.032987
ACEI                                      0.060562       0.036161
HCTZ                                      0.058698       0.039072
CT                                        0.058009       0.023122
IRC                                       0.057937       0.035228
PAD                                       0.055005       0.035018
CLORTALIDONE                              0.054391       0.040539
DELL_ANSA                                 0.054014       0.034643
CAA_DIID                                  0.051854       0.041440
ALTEZZA                                   0.049700       0.026038
IPERTESO                                  0.047910       0.037765
ALLOPURINOLO                              0.047554       0.022655
EZETEMIBE                                 0.045873       0.030101
FU_NF_FA                                  0.045789       0.034526
TG                                        0.045070       0.007172
BMI                                       0.043330       0.031155
OMEGA_3                                   0.040800       0.016656
PCR                                       0.038652       0.017176
ATT_FIS                                   0.038557       0.008726
ALB_CAT                                   0.038076       0.031313
NORMOMICROMACRO                           0.036934       0.013941
FIBRATI                                   0.034721       0.011845
HDL                                       0.033914       0.013870
CBV_BASE                                  0.033826       0.019152
IMA_BASE                                  0.033057       0.010162
ANNI_MENOP                                0.032130       0.020232
HF_BASE                                   0.031686       0.019475
MENOPAUSA                                 0.022699       0.018171

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      18.432451       5.229395
SESSO                                     1.798531       0.231957
INS_CARD                                  1.646284       0.586378
AZOTEMIA                                  1.459744       0.701712
INDAPAMIDE                                1.300201       0.923203
