SHAP Aggregated — HURRAH | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
TG                                            0.388387      0.142666
GOTTA                                         0.374191      0.130758
ACEI                                          0.364624      0.167450
FAM_IPERT                                     0.357833      0.139003
HDL                                           0.351202      0.137005
IRC                                           0.350347      0.163696
NORMOMICROMACRO                               0.345181      0.140715
FIBRATI                                       0.337410      0.133696
ALTRO_CAA                                     0.332492      0.143190
FC                                            0.329425      0.117939
FA_BASE                                       0.328438      0.145665
BMI                                           0.311317      0.145804
NF_FA                                         0.309354      0.116406
ALLOPURINOLO                                  0.307057      0.127857
BETABLOCCANTI                                 0.304668      0.113395
IPERTESO                                      0.288740      0.141863
ATT_FIS                                       0.269795      0.115053
DIURETICI                                     0.265395      0.106754
MENOPAUSA                                     0.264839      0.089609
FU_NF_FA                                      0.257143      0.104136
PCR                                           0.233766      0.083553
IMA_BASE                                      0.232687      0.098421
HF_BASE                                       0.226819      0.063190
ANNI_MENOP                                    0.226275      0.073809
ALB_CAT                                       0.210523      0.078130
CBV_BASE                                      0.204021      0.071726

--- cox ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           2.258981      0.472268
AZOTEMIA                                      0.349728      0.140336
INS_CARD                                      0.302331      0.115632
SARTANI                                       0.273873      0.047115
SESSO                                         0.251602      0.080373
INDAPAMIDE                                    0.176185      0.063613
HCTZ                                          0.146111      0.046287
ALCOOL                                        0.117967      0.058867
CLORTALIDONE                                  0.115541      0.077329
ACIDO_NICOTINICO                              0.114900      0.033770
HT                                            0.113610      0.062605
DIABETE                                       0.112675      0.047014
PLACCA                                        0.112117      0.052818
STATINA                                       0.111863      0.040706
CREATININA                                    0.104198      0.041494
URICEMIA                                      0.098429      0.036136
FAM_IPERT                                     0.092883      0.042116
DELL_ANSA                                     0.089183      0.044741
IMT                                           0.081965      0.034590
FUMO_ATT                                      0.080199      0.032696
RESINE                                        0.078260      0.019426
FC                                            0.074489      0.036258
GLICEMIA                                      0.071599      0.030168
HB                                            0.068649      0.035782
ALTEZZA                                       0.062233      0.032137
ACEI                                          0.061099      0.027407
FAM_CV                                        0.060402      0.035794
ALLOPURINOLO                                  0.058449      0.028052
GOTTA                                         0.056973      0.031360
OMEGA_3                                       0.056480      0.025698
PESO                                          0.054503      0.026581
EXFUMO                                        0.054466      0.021132
PAS                                           0.054046      0.024032
EZETEMIBE                                     0.053714      0.026486
ATT_FIS_H_SETT                                0.052381      0.026336
CT                                            0.050185      0.026286
TG                                            0.043381      0.020514
NF_FA                                         0.041886      0.019649
HDL                                           0.040610      0.019896
VITA                                          0.038515      0.013583
PAD                                           0.038467      0.013171
ATT_FIS                                       0.036934      0.015596
ALTRO_CAA                                     0.036175      0.019906
CAA_DIID                                      0.035903      0.014387
FIBRATI                                       0.035511      0.016418
ETANOLO_G_DIE                                 0.034245      0.022120
BMI                                           0.033684      0.018359
DIURETICI                                     0.032049      0.015930
BETABLOCCANTI                                 0.031991      0.015070
FA_BASE                                       0.031710      0.009322
NORMOMICROMACRO                               0.030627      0.012334
CBV_BASE                                      0.029441      0.016078
HF_BASE                                       0.029210      0.018363
IRC                                           0.028008      0.009496
IPERTESO                                      0.027773      0.015013
ANNI_MENOP                                    0.027739      0.016061
IMA_BASE                                      0.024583      0.011075
ALB_CAT                                       0.022298      0.014782
MENOPAUSA                                     0.022017      0.007726
PCR                                           0.020381      0.010216
FU_NF_FA                                      0.019496      0.007845

--- deepsurv_tuned ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           0.662105      0.125716
AZOTEMIA                                      0.097079      0.033245
INDAPAMIDE                                    0.070246      0.035443
