dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
HURRAH	tabicl	77	-1	100	100	tab_deepsurv_simple	0.9342938260269864	0.022764404496500155	0.6773524036462224	0.019567812582102558
HURRAH	tabicl	77	-1	100	100	tab_deepsurv_vanilla	0.9533655846547358	0.012876070592721606	0.6847215964830696	0.014575751707671983
HURRAH	tabicl	77	-1	100	100	tab_rsf	0.964518050941406	0.010449154004977784	0.6308161119451018	0.03467601719527967
HURRAH	tabicl	77	-1	100	100	tab_cox	0.9075560989658721	0.1675718296282093	0.5436433422830486	0.10767925309766876
HURRAH	tabicl	77	-1	100	100	deepsurv_simple	0.851070667442413	0.09219338244672812	0.699914497202115	0.04028929965062569
HURRAH	tabicl	77	-1	100	100	deepsurv_vanilla	0.7797145816097717	0.0414142367373113	0.6441189683072313	0.036170605526311746
HURRAH	tabicl	77	-1	100	100	rsf	0.9635395352254583	0.0176000473805896	0.7222572252815074	0.019465470653159907
HURRAH	tabicl	77	-1	100	100	cox	0.9340495481012359	0.017607504923688205	0.7353922405713724	0.013595805674766242
HURRAH	tabicl	77	-1	500	500	tab_deepsurv_simple	0.9545116002353652	0.004119259110057095	0.7311959944216543	0.021668894715969746
HURRAH	tabicl	77	-1	500	500	tab_deepsurv_vanilla	0.9598788455028682	0.013251430563823621	0.7341815058451215	0.022271881979255052
HURRAH	tabicl	77	-1	500	500	tab_rsf	0.9867051645821908	0.002821379743281263	0.6661833436487028	0.035327041681090014
HURRAH	tabicl	77	-1	500	500	tab_cox	0.9636479455063263	0.04086251242573424	0.6789352575686727	0.03778875917058792
HURRAH	tabicl	77	-1	500	500	deepsurv_simple	0.8730975486144968	0.015558966669641267	0.8048546622052104	0.011784133626281775
HURRAH	tabicl	77	-1	500	500	deepsurv_vanilla	0.8626358292087832	0.030453635846643543	0.7633531047402305	0.022970568465189
HURRAH	tabicl	77	-1	500	500	rsf	0.9468456743480553	0.008861840441179561	0.7806740302501258	0.013272759564257053
HURRAH	tabicl	77	-1	500	500	cox	0.8656284137694337	0.018660019758223716	0.8044481061849706	0.006377869067407378
HURRAH	tabicl	77	-1	1000	1000	tab_deepsurv_simple	0.9530907943072358	0.004300950058321668	0.7434461660234333	0.026696517790715628
HURRAH	tabicl	77	-1	1000	1000	tab_deepsurv_vanilla	0.9613185733349864	0.007738321185548028	0.7531190184048118	0.018881884947858897
HURRAH	tabicl	77	-1	1000	1000	tab_rsf	0.9865810098809769	0.001527337582265982	0.7056453305444754	0.00718457990028711
HURRAH	tabicl	77	-1	1000	1000	tab_cox	0.9387134054748726	0.049680224880141864	0.6980362525598819	0.022919104484950492
HURRAH	tabicl	77	-1	1000	1000	deepsurv_simple	0.8566765525349522	0.014003199661518428	0.8221063183203778	0.010007677522206644
HURRAH	tabicl	77	-1	1000	1000	deepsurv_vanilla	0.8219422404039131	0.0835747814080864	0.7713080010486502	0.060158172677165236
HURRAH	tabicl	77	-1	1000	1000	rsf	0.9475365330426966	0.006323677842757548	0.8084292098780743	0.008814497517336166
HURRAH	tabicl	77	-1	1000	1000	cox	0.8494782021364395	0.012096849098676192	0.817020444543038	0.008153957036159697
HURRAH	tabicl	77	-1	2500	2500	tab_deepsurv_simple	0.9644917417912501	0.0039729610669923445	0.7821903768423911	0.00817361976270113
HURRAH	tabicl	77	-1	2500	2500	tab_deepsurv_vanilla	0.9616055915507008	0.004360734329276655	0.7655519347245525	0.004765462762780239
HURRAH	tabicl	77	-1	2500	2500	tab_rsf	0.9844190865553278	0.0007980544948925639	0.7139857832116704	0.01227951431678796
HURRAH	tabicl	77	-1	2500	2500	tab_cox	0.971286611319163	0.0015584074757931834	0.7406076960807995	0.010506290912724172
HURRAH	tabicl	77	-1	2500	2500	deepsurv_simple	0.8487574243670675	0.0034829087354408023	0.829652010240644	0.0064220552302176005
HURRAH	tabicl	77	-1	2500	2500	deepsurv_vanilla	0.870451636869847	0.0036819647407805617	0.8246965540472069	0.006099911827785372
HURRAH	tabicl	77	-1	2500	2500	rsf	0.9473095784940936	0.0013921893785798186	0.8320183025379201	0.00489599564157339
HURRAH	tabicl	77	-1	2500	2500	cox	0.8401523400069504	0.00460610826748181	0.8233528166586727	0.0058832212472574655
HURRAH	tabicl	77	-1	5000	5000	tab_deepsurv_simple	0.9616551661775787	0.0032365948514117065	0.7717837232272972	0.02765726111823361
HURRAH	tabicl	77	-1	5000	5000	tab_deepsurv_vanilla	0.9631729018899629	0.0032241856135753074	0.7948483605823194	0.006871309009359371
HURRAH	tabicl	77	-1	5000	5000	tab_rsf	0.9840474730275837	0.0006720424181630627	0.7146867790911349	0.013337891668783316
HURRAH	tabicl	77	-1	5000	5000	tab_cox	0.9673269280764508	0.0005156557522666682	0.7621329376161053	0.009301708376403085
