SHAP — HURRAH | tabicl | preprocess: -1 | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ALLOPURINOLO                              0.557675       0.123886
INDAPAMIDE                                0.252676       0.159169
AZOTEMIA                                  0.169902       0.066628
IRC                                       0.108485       0.028465
FC                                        0.106617       0.038674
INS_CARD                                  0.098035       0.049440
CBV_BASE                                  0.081176       0.041608
RESINE                                    0.079591       0.051290
HB                                        0.079177       0.030345
CLORTALIDONE                              0.078351       0.066733
ALCOOL                                    0.075869       0.046849
PLACCA                                    0.066564       0.047283
FAM_IPERT                                 0.066196       0.045859
SARTANI                                   0.062986       0.032683
IPERTESO                                  0.060346       0.021246
GOTTA                                     0.058917       0.023188
GLICEMIA                                  0.057028       0.036523
DELL_ANSA                                 0.056142       0.037324
VITA                                      0.054279       0.030644
STATINA                                   0.053499       0.023097
HDL                                       0.053109       0.028916
FAM_CV                                    0.048458       0.008897
ATT_FIS_H_SETT                            0.043969       0.010541
BETABLOCCANTI                             0.043162       0.026305
CREATININA                                0.042743       0.017984
HCTZ                                      0.038170       0.015504
ALTRO_CAA                                 0.037571       0.010143
ATT_FIS                                   0.037069       0.021091
ACIDO_NICOTINICO                          0.036500       0.023742
DIABETE                                   0.035260       0.006959
EXFUMO                                    0.034776       0.011127
ETANOLO_G_DIE                             0.034766       0.019978
OMEGA_3                                   0.034437       0.007702
IMT                                       0.034255       0.010189
NF_FA                                     0.033626       0.017317
DIURETICI                                 0.032069       0.016678
FU_NF_FA                                  0.031336       0.021868
URICEMIA                                  0.030338       0.014129
FA_BASE                                   0.027868       0.006914
SESSO                                     0.027349       0.013472
ALTEZZA                                   0.026801       0.010550
EZETEMIBE                                 0.025814       0.012951
ANNI_MENOP                                0.025734       0.005352
NORMOMICROMACRO                           0.025312       0.007098
ACEI                                      0.024626       0.007041
FIBRATI                                   0.023646       0.007374
HT                                        0.023451       0.010176
ALB_CAT                                   0.022798       0.016990
FUMO_ATT                                  0.022695       0.003607
PCR                                       0.021599       0.012922
HF_BASE                                   0.020340       0.008293
CAA_DIID                                  0.019733       0.005830
BMI                                       0.019152       0.005189
ETA                                       0.016973       0.009318
MENOPAUSA                                 0.016722       0.007761
PAD                                       0.016469       0.010814
CT                                        0.016173       0.006947
IMA_BASE                                  0.015854       0.007806
PESO                                      0.015282       0.006493
TG                                        0.015248       0.007622
PAS                                       0.012378       0.005329

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ALLOPURINOLO                              0.254989       0.109420
INS_CARD                                  0.105900       0.030214
FC                                        0.074275       0.022167
ALCOOL                                    0.069508       0.040038
AZOTEMIA                                  0.066163       0.076371
HB                                        0.064886       0.017734
IRC                                       0.063853       0.019182
CLORTALIDONE                              0.061029       0.034263
INDAPAMIDE                                0.050891       0.027592
CBV_BASE                                  0.043655       0.017642
FAM_IPERT                                 0.042726       0.027013
FIBRATI                                   0.042182       0.045537
ATT_FIS_H_SETT                            0.039393       0.020044
HDL                                       0.038566       0.017152
CREATININA                                0.036442       0.017744
VITA                                      0.035741       0.016998
GOTTA                                     0.035683       0.018007
IPERTESO                                  0.033481       0.018947
SARTANI                                   0.031215       0.023442
ATT_FIS                                   0.031027       0.009519
DIABETE                                   0.030641       0.007819
DELL_ANSA                                 0.030612       0.011270
ACEI                                      0.029809       0.006871
RESINE                                    0.028655       0.018862
SESSO                                     0.026615       0.006003
ETANOLO_G_DIE                             0.026061       0.008191
BETABLOCCANTI                             0.025454       0.006583
HCTZ                                      0.023961       0.007714
ACIDO_NICOTINICO                          0.023086       0.006666
ALB_CAT                                   0.023067       0.016980
ANNI_MENOP                                0.023035       0.011727
NF_FA                                     0.022300       0.016330
PLACCA                                    0.021986       0.011050
DIURETICI                                 0.021399       0.006300
HT                                        0.020977       0.016160
HF_BASE                                   0.020644       0.011367
NORMOMICROMACRO                           0.020600       0.007437
STATINA                                   0.019428       0.008741
PCR                                       0.019310       0.004644
URICEMIA                                  0.019225       0.011251
FAM_CV                                    0.018014       0.005359
CAA_DIID                                  0.017229       0.005516
GLICEMIA                                  0.016801       0.001275
OMEGA_3                                   0.016543       0.003645
FUMO_ATT                                  0.016194       0.006920
EXFUMO                                    0.015891       0.006529
IMT                                       0.015711       0.007395
IMA_BASE                                  0.015524       0.007652
ALTRO_CAA                                 0.015182       0.001720
MENOPAUSA                                 0.015069       0.008637
PAS                                       0.015050       0.007305
ALTEZZA                                   0.014938       0.004754
FA_BASE                                   0.014711       0.002981
FU_NF_FA                                  0.013839       0.004518
BMI                                       0.013787       0.006293
EZETEMIBE                                 0.013239       0.006275
PESO                                      0.011732       0.004372
ETA                                       0.011545       0.002026
PAD                                       0.011484       0.006166
CT                                        0.010516       0.002943
TG                                        0.010247       0.003615

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HB                                        3.042934       1.130770
ATT_FIS_H_SETT                            2.946892       1.443621
CLORTALIDONE                              2.805420       0.449590
FC                                        2.504287       0.547490
FAM_IPERT                                 2.210714       0.845493
CREATININA                                2.176578       0.577009
