SHAP — HURRAH | tabicl | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
FIBRATI                                   0.712415       0.296991
STATINA                                   0.712164       0.278736
INDAPAMIDE                                0.705508       0.298505
ACIDO_NICOTINICO                          0.685288       0.227561
OMEGA_3                                   0.657110       0.114760
HF_BASE                                   0.650675       0.175795
MENOPAUSA                                 0.645579       0.216967
ALTEZZA                                   0.641285       0.254240
FAM_CV                                    0.597531       0.104550
NF_FA                                     0.591291       0.249967
PAS                                       0.573226       0.102556
IMT                                       0.573054       0.208438
ALB_CAT                                   0.565060       0.130041
PAD                                       0.549975       0.273224
FA_BASE                                   0.547296       0.230512
PESO                                      0.535595       0.323512
CT                                        0.494684       0.250325
CAA_DIID                                  0.464387       0.213891
TG                                        0.454454       0.141300
EZETEMIBE                                 0.431013       0.153765
IMA_BASE                                  0.428104       0.137757
BMI                                       0.419900       0.163108
ETA                                       0.411523       0.117731
FUMO_ATT                                  0.377426       0.179241

--- cox ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HCTZ                                      7.404494       0.787551
HB                                        3.282999       0.414608
ALLOPURINOLO                              2.853721       1.033288
ALTRO_CAA                                 2.530043       0.617796
CLORTALIDONE                              2.113125       0.652349
FIBRATI                                   1.745224       0.600844
SARTANI                                   1.657582       0.493305
AZOTEMIA                                  0.939585       0.355051
RESINE                                    0.784314       0.243567
GLICEMIA                                  0.757398       0.259818
INDAPAMIDE                                0.684607       0.320193
ATT_FIS_H_SETT                            0.643531       0.313837
HDL                                       0.619637       0.093018
CAA_DIID                                  0.589047       0.177958
SESSO                                     0.541472       0.140214
ALB_CAT                                   0.522654       0.134159
GOTTA                                     0.478272       0.133948
ALCOOL                                    0.469509       0.159088
HT                                        0.435124       0.219751
ATT_FIS                                   0.430405       0.234681
CREATININA                                0.427193       0.073203
PAS                                       0.386844       0.100946
CBV_BASE                                  0.379090       0.223915
IRC                                       0.366427       0.173570
PLACCA                                    0.364499       0.079705
DIURETICI                                 0.361860       0.130275
NORMOMICROMACRO                           0.331213       0.148269
ETANOLO_G_DIE                             0.329661       0.155404
INS_CARD                                  0.322506       0.120905
OMEGA_3                                   0.317559       0.137453
DELL_ANSA                                 0.311284       0.092219
ACIDO_NICOTINICO                          0.307164       0.100862
IPERTESO                                  0.306886       0.092508
ACEI                                      0.294543       0.123836
HF_BASE                                   0.292490       0.061839
NF_FA                                     0.276090       0.105309
EZETEMIBE                                 0.274223       0.111604
ANNI_MENOP                                0.268220       0.099793
VITA                                      0.263807       0.160085
PCR                                       0.262160       0.064200
ALTEZZA                                   0.255742       0.136133
IMA_BASE                                  0.253492       0.115890
FAM_CV                                    0.250434       0.073404
FC                                        0.249060       0.089264
FAM_IPERT                                 0.240254       0.105449
DIABETE                                   0.234306       0.148564
URICEMIA                                  0.227631       0.096730
FA_BASE                                   0.204607       0.090718
IMT                                       0.192287       0.078483
PESO                                      0.189813       0.047105
TG                                        0.186137       0.084023
EXFUMO                                    0.185688       0.100157
ETA                                       0.183739       0.049703
MENOPAUSA                                 0.183374       0.053745
STATINA                                   0.183161       0.046265
FUMO_ATT                                  0.164755       0.050509
CT                                        0.159831       0.016716
FU_NF_FA                                  0.156666       0.041722
PAD                                       0.156564       0.084857
BMI                                       0.156457       0.074165
BETABLOCCANTI                             0.131582       0.034301

--- deepsurv_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
VITA                                      0.124940       0.074138
ATT_FIS_H_SETT                            0.114536       0.064879
SARTANI                                   0.112112       0.106390
HB                                        0.105616       0.039189
GOTTA                                     0.084828       0.046508
IRC                                       0.076529       0.041511
ALCOOL                                    0.066076       0.032526
FC                                        0.064080       0.040643
BETABLOCCANTI                             0.059293       0.026822
ATT_FIS                                   0.054555       0.040666
ALTRO_CAA                                 0.053603       0.034676
INS_CARD                                  0.052569       0.046972
ALLOPURINOLO                              0.051636       0.024853
CREATININA                                0.051046       0.021412
ACEI                                      0.051013       0.030393
ETANOLO_G_DIE                             0.050282       0.016142
AZOTEMIA                                  0.049713       0.010750
INDAPAMIDE                                0.049333       0.051048
IPERTESO                                  0.047942       0.024214
SESSO                                     0.047525       0.020728
PLACCA                                    0.045113       0.023749
DELL_ANSA                                 0.042674       0.021311
CLORTALIDONE                              0.042538       0.026335
OMEGA_3                                   0.040238       0.015504
HCTZ                                      0.039884       0.021930
DIABETE                                   0.038257       0.018824
FIBRATI                                   0.038037       0.017398
RESINE                                    0.037881       0.016267
HF_BASE                                   0.037499       0.024831
HDL                                       0.032612       0.014088
FAM_IPERT                                 0.028991       0.018195
FA_BASE                                   0.028893       0.012849
GLICEMIA                                  0.028866       0.015534
URICEMIA                                  0.028406       0.012003
FU_NF_FA                                  0.028064       0.024120
HT                                        0.027028       0.017536
ALTEZZA                                   0.026622       0.012846
CBV_BASE                                  0.026345       0.022281
ACIDO_NICOTINICO                          0.025126       0.011814
STATINA                                   0.025095       0.013303
NORMOMICROMACRO                           0.024317       0.005317
EXFUMO                                    0.023809       0.009485
FUMO_ATT                                  0.023471       0.010088
CAA_DIID                                  0.022850       0.012033
EZETEMIBE                                 0.022663       0.008256
ALB_CAT                                   0.022486       0.008305
IMA_BASE                                  0.021275       0.015764
