SHAP — HURRAH | tabicl | preprocess: NaN | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ALLOPURINOLO                              0.512570       0.202052
ALB_CAT                                   0.438335       0.172848
FAM_CV                                    0.235032       0.056070
FIBRATI                                   0.204459       0.060489
SESSO                                     0.184934       0.098498
SARTANI                                   0.172789       0.103624
MENOPAUSA                                 0.125505       0.049389
ATT_FIS_H_SETT                            0.122545       0.068007
FAM_IPERT                                 0.114917       0.061483
IRC                                       0.109234       0.064300
CLORTALIDONE                              0.099655       0.057995
DELL_ANSA                                 0.097107       0.084831
ATT_FIS                                   0.093720       0.039711
HCTZ                                      0.057493       0.049002
OMEGA_3                                   0.055600       0.036490
INDAPAMIDE                                0.054904       0.018484
ANNI_MENOP                                0.053790       0.037160
GOTTA                                     0.050228       0.023745
ACEI                                      0.048270       0.025257
ALTRO_CAA                                 0.045087       0.027461
EXFUMO                                    0.045027       0.026572
INS_CARD                                  0.042803       0.017780
PLACCA                                    0.042730       0.027884
ETANOLO_G_DIE                             0.039694       0.021905
EZETEMIBE                                 0.039546       0.031590
ALCOOL                                    0.038155       0.015430
DIURETICI                                 0.034181       0.007488
CREATININA                                0.034175       0.012557
NF_FA                                     0.032411       0.013675
DIABETE                                   0.032249       0.016030
BETABLOCCANTI                             0.031270       0.015315
IPERTESO                                  0.030267       0.011446
STATINA                                   0.029458       0.003376
CAA_DIID                                  0.027999       0.011503
RESINE                                    0.027220       0.014320
FUMO_ATT                                  0.025649       0.015773
PCR                                       0.024556       0.012960
FA_BASE                                   0.023974       0.013751
TG                                        0.020428       0.007739
PAS                                       0.019366       0.009835
VITA                                      0.017421       0.003090
ACIDO_NICOTINICO                          0.017115       0.004867
URICEMIA                                  0.016742       0.005441
IMT                                       0.016699       0.003616
HF_BASE                                   0.016677       0.002674
CBV_BASE                                  0.016572       0.010115
IMA_BASE                                  0.016033       0.003282
ETA                                       0.016031       0.009058
HB                                        0.015991       0.004041
NORMOMICROMACRO                           0.015815       0.008773
GLICEMIA                                  0.015684       0.005298
PAD                                       0.015614       0.004215
PESO                                      0.014957       0.002728
FU_NF_FA                                  0.014895       0.008252
BMI                                       0.014592       0.004332
AZOTEMIA                                  0.014537       0.007994
HT                                        0.013675       0.004042
HDL                                       0.012878       0.005633
FC                                        0.012678       0.004631
ALTEZZA                                   0.012353       0.003165
CT                                        0.010537       0.005873

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ALLOPURINOLO                              0.218727       0.109056
ALB_CAT                                   0.200105       0.059355
GOTTA                                     0.172967       0.066572
FAM_CV                                    0.114124       0.042582
FAM_IPERT                                 0.091090       0.036836
DELL_ANSA                                 0.079064       0.037146
SARTANI                                   0.075213       0.028274
ACEI                                      0.066175       0.023178
ATT_FIS_H_SETT                            0.064569       0.041799
FIBRATI                                   0.062666       0.048093
SESSO                                     0.061976       0.033001
CLORTALIDONE                              0.061940       0.034707
IRC                                       0.057414       0.021928
ALTRO_CAA                                 0.054180       0.023110
ANNI_MENOP                                0.048456       0.032863
EXFUMO                                    0.047210       0.019348
DIABETE                                   0.042257       0.011498
MENOPAUSA                                 0.039450       0.011412
BETABLOCCANTI                             0.037862       0.016048
ATT_FIS                                   0.037453       0.010719
INDAPAMIDE                                0.035807       0.006276
HCTZ                                      0.035158       0.011292
ETANOLO_G_DIE                             0.034737       0.003069
PLACCA                                    0.034299       0.013636
RESINE                                    0.030821       0.026646
OMEGA_3                                   0.030363       0.012886
DIURETICI                                 0.028290       0.002579
CAA_DIID                                  0.027755       0.018410
STATINA                                   0.025702       0.009022
ALCOOL                                    0.025664       0.005388
FU_NF_FA                                  0.022116       0.014352
URICEMIA                                  0.021319       0.007411
NF_FA                                     0.021165       0.008762
CREATININA                                0.020208       0.004380
INS_CARD                                  0.019084       0.004301
CT                                        0.018370       0.016522
PCR                                       0.017262       0.006130
HDL                                       0.016833       0.011996
ETA                                       0.016189       0.007982
IPERTESO                                  0.016064       0.005859
PAD                                       0.015961       0.006754
TG                                        0.015707       0.007747
FUMO_ATT                                  0.015120       0.005432
NORMOMICROMACRO                           0.014817       0.004832
ACIDO_NICOTINICO                          0.014694       0.003714
HF_BASE                                   0.014555       0.003334
IMA_BASE                                  0.014537       0.005679
FA_BASE                                   0.014491       0.006461
ALTEZZA                                   0.013296       0.005426
AZOTEMIA                                  0.012934       0.006736
EZETEMIBE                                 0.012739       0.004630
GLICEMIA                                  0.011377       0.004986
CBV_BASE                                  0.010787       0.004310
BMI                                       0.010252       0.002972
VITA                                      0.010116       0.003071
PAS                                       0.010053       0.007622
HB                                        0.009603       0.004491
FC                                        0.009596       0.005594
IMT                                       0.009544       0.003894
HT                                        0.009154       0.004289
PESO                                      0.008525       0.003423

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
DELL_ANSA                                 3.798937       0.898284
SARTANI                                   3.091402       0.472840
GOTTA                                     3.036225       0.608504
ALTRO_CAA                                 2.151185       0.592829
ATT_FIS_H_SETT                            2.122041       0.800551
