SHAP — HURRAH | tabicl | preprocess: NaN | seed: 42
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HCTZ                                      0.246405       0.170075
MENOPAUSA                                 0.177456       0.096127
INS_CARD                                  0.142017       0.029701
CLORTALIDONE                              0.130811       0.084609
GOTTA                                     0.128806       0.111377
ACEI                                      0.124789       0.041774
BETABLOCCANTI                             0.111713       0.044406
INDAPAMIDE                                0.094821       0.098322
ALTRO_CAA                                 0.088639       0.049298
DIABETE                                   0.088127       0.015666
SESSO                                     0.086444       0.077258
FIBRATI                                   0.080659       0.026392
IPERTESO                                  0.077437       0.053062
FAM_CV                                    0.076514       0.031427
ATT_FIS_H_SETT                            0.076432       0.030575
ATT_FIS                                   0.074742       0.047454
ANNI_MENOP                                0.058799       0.033255
ALCOOL                                    0.048301       0.030998
FAM_IPERT                                 0.043975       0.043040
DELL_ANSA                                 0.043669       0.008884
ALLOPURINOLO                              0.040328       0.024400
SARTANI                                   0.038554       0.008813
URICEMIA                                  0.038443       0.017572
FU_NF_FA                                  0.035594       0.009432
NORMOMICROMACRO                           0.032979       0.009408
ETANOLO_G_DIE                             0.031119       0.015007
EXFUMO                                    0.027819       0.015978
STATINA                                   0.026763       0.018931
FA_BASE                                   0.026477       0.029378
IRC                                       0.025879       0.013211
PLACCA                                    0.025789       0.011703
CREATININA                                0.024396       0.015747
RESINE                                    0.023237       0.023164
OMEGA_3                                   0.022532       0.012149
ALB_CAT                                   0.022151       0.006759
NF_FA                                     0.021248       0.010974
ETA                                       0.020433       0.011156
DIURETICI                                 0.020272       0.005920
HDL                                       0.019585       0.008581
BMI                                       0.016432       0.007923
FUMO_ATT                                  0.016317       0.009636
ACIDO_NICOTINICO                          0.015832       0.003975
HF_BASE                                   0.015705       0.005345
CAA_DIID                                  0.015137       0.004981
GLICEMIA                                  0.014949       0.006042
EZETEMIBE                                 0.014763       0.007970
IMT                                       0.014347       0.006319
IMA_BASE                                  0.014339       0.005370
HB                                        0.013847       0.007623
AZOTEMIA                                  0.013148       0.009272
HT                                        0.012366       0.007559
PESO                                      0.011609       0.005054
VITA                                      0.011578       0.003345
PCR                                       0.011519       0.004811
TG                                        0.010132       0.005459
PAS                                       0.009314       0.002801
CT                                        0.008770       0.005512
CBV_BASE                                  0.008610       0.003483
FC                                        0.007675       0.003148
PAD                                       0.007357       0.004000
ALTEZZA                                   0.006997       0.002092

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ACEI                                      0.200846       0.075903
HCTZ                                      0.159333       0.101006
CLORTALIDONE                              0.123246       0.070713
INS_CARD                                  0.095222       0.060640
SESSO                                     0.092752       0.063810
FAM_CV                                    0.084721       0.037023
DIABETE                                   0.058466       0.008709
SARTANI                                   0.054954       0.029752
GOTTA                                     0.050363       0.039936
CREATININA                                0.046521       0.021454
DELL_ANSA                                 0.044751       0.030668
MENOPAUSA                                 0.044252       0.027938
FIBRATI                                   0.042602       0.015743
ALLOPURINOLO                              0.039542       0.030050
ATT_FIS                                   0.035911       0.030970
INDAPAMIDE                                0.034929       0.022154
ANNI_MENOP                                0.034415       0.020250
ATT_FIS_H_SETT                            0.033424       0.015084
CAA_DIID                                  0.032209       0.024424
OMEGA_3                                   0.029456       0.021719
EXFUMO                                    0.028650       0.011184
BETABLOCCANTI                             0.028300       0.018753
ETANOLO_G_DIE                             0.028270       0.017382
EZETEMIBE                                 0.025110       0.029360
FA_BASE                                   0.024078       0.011703
IPERTESO                                  0.023810       0.007192
ALTRO_CAA                                 0.022913       0.014819
STATINA                                   0.022838       0.008165
FAM_IPERT                                 0.022200       0.007168
IRC                                       0.021860       0.006304
ALB_CAT                                   0.021174       0.005819
PLACCA                                    0.018652       0.010677
ALCOOL                                    0.017312       0.008559
NORMOMICROMACRO                           0.013611       0.002957
FUMO_ATT                                  0.012840       0.003102
FU_NF_FA                                  0.012721       0.005280
URICEMIA                                  0.012258       0.007270
AZOTEMIA                                  0.012152       0.005106
HDL                                       0.012024       0.007647
DIURETICI                                 0.011806       0.006926
PCR                                       0.011785       0.003281
NF_FA                                     0.011640       0.003608
IMT                                       0.011386       0.004007
HT                                        0.011276       0.004454
RESINE                                    0.010653       0.005419
CT                                        0.010379       0.004216
PAS                                       0.010051       0.002594
BMI                                       0.009332       0.005183
FC                                        0.009308       0.003346
TG                                        0.009217       0.001950
HB                                        0.009169       0.005876
ALTEZZA                                   0.008697       0.003755
HF_BASE                                   0.008328       0.003669
ETA                                       0.008115       0.004753
PAD                                       0.008039       0.004944
CBV_BASE                                  0.007879       0.004466
ACIDO_NICOTINICO                          0.007718       0.001252
IMA_BASE                                  0.007483       0.001905
PESO                                      0.006903       0.002603
VITA                                      0.005880       0.001847
GLICEMIA                                  0.005236       0.002162

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
SESSO                                     9.794971       1.680467
FAM_IPERT                                 2.645494       0.545184
DELL_ANSA                                 2.594355       0.146270
IPERTESO                                  2.297352       0.410850
ANNI_MENOP                                2.165712       0.637498
INS_CARD                                  2.093875       0.699833
