SHAP — HURRAH | tabicl | preprocess: NaN | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
EZETEMIBE                                 0.576966       0.181953
FIBRATI                                   0.571749       0.184558
HDL                                       0.564099       0.160159
IMA_BASE                                  0.514852       0.251998
PCR                                       0.510358       0.276939
ACIDO_NICOTINICO                          0.496581       0.098355
FUMO_ATT                                  0.483408       0.085288
FC                                        0.483286       0.172263
VITA                                      0.477741       0.168303
ALTEZZA                                   0.465555       0.223764
HF_BASE                                   0.430345       0.060417
HB                                        0.415691       0.135888
GLICEMIA                                  0.407685       0.171101
HT                                        0.404308       0.131281
PAD                                       0.370673       0.185051
AZOTEMIA                                  0.365685       0.079581
FA_BASE                                   0.360840       0.114057
BMI                                       0.354014       0.123840
CBV_BASE                                  0.351913       0.125615
PESO                                      0.350292       0.132815
CT                                        0.323009       0.139285
TG                                        0.317450       0.090753
IMT                                       0.309118       0.035319
PAS                                       0.305424       0.184146
NF_FA                                     0.299092       0.214450

--- cox ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ALLOPURINOLO                              6.685549       0.685109
SESSO                                     2.637043       0.282212
SARTANI                                   2.107000       0.288593
ALB_CAT                                   1.603343       0.488034
ATT_FIS_H_SETT                            1.326783       0.349821
MENOPAUSA                                 1.140510       0.302784
FIBRATI                                   1.121223       0.371413
ALTRO_CAA                                 0.903334       0.281742
FAM_CV                                    0.892765       0.360903
IRC                                       0.788119       0.284207
CLORTALIDONE                              0.783022       0.453549
FAM_IPERT                                 0.713078       0.101225
ACEI                                      0.655100       0.153883
OMEGA_3                                   0.543464       0.137773
ANNI_MENOP                                0.531327       0.308901
ATT_FIS                                   0.480549       0.166765
BETABLOCCANTI                             0.475255       0.224303
INDAPAMIDE                                0.395231       0.227016
ALCOOL                                    0.360394       0.100324
GOTTA                                     0.338516       0.143522
ETANOLO_G_DIE                             0.334452       0.098014
DIABETE                                   0.328179       0.134742
CREATININA                                0.326089       0.107022
PLACCA                                    0.287359       0.157674
INS_CARD                                  0.277645       0.120070
IPERTESO                                  0.273407       0.092039
HCTZ                                      0.269850       0.075280
DELL_ANSA                                 0.262552       0.081141
DIURETICI                                 0.224595       0.119749
AZOTEMIA                                  0.222818       0.072166
EXFUMO                                    0.187507       0.049948
TG                                        0.172743       0.074971
PCR                                       0.166070       0.060971
CAA_DIID                                  0.165936       0.066219
URICEMIA                                  0.160499       0.100651
NF_FA                                     0.158717       0.066644
HF_BASE                                   0.151037       0.068987
PAD                                       0.144408       0.063184
STATINA                                   0.138682       0.045758
CT                                        0.137927       0.062518
ETA                                       0.137671       0.060791
FU_NF_FA                                  0.134223       0.042820
VITA                                      0.132996       0.055911
ACIDO_NICOTINICO                          0.129784       0.044151
GLICEMIA                                  0.129626       0.043654
IMT                                       0.129033       0.037224
FUMO_ATT                                  0.125707       0.057864
ALTEZZA                                   0.123024       0.049943
HB                                        0.122099       0.049178
RESINE                                    0.119812       0.082808
EZETEMIBE                                 0.119335       0.048088
CBV_BASE                                  0.118833       0.052410
HDL                                       0.117431       0.055868
PAS                                       0.113696       0.026479
NORMOMICROMACRO                           0.102469       0.046517
FC                                        0.102036       0.045886
BMI                                       0.101453       0.051590
FA_BASE                                   0.096184       0.046173
PESO                                      0.095297       0.027569
HT                                        0.084733       0.035282
IMA_BASE                                  0.083746       0.049825

--- deepsurv_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ATT_FIS_H_SETT                            0.120691       0.099425
MENOPAUSA                                 0.097083       0.051258
SESSO                                     0.085840       0.057278
DELL_ANSA                                 0.081108       0.069651
HCTZ                                      0.078700       0.064126
GOTTA                                     0.076982       0.042992
CLORTALIDONE                              0.072473       0.041907
BETABLOCCANTI                             0.058309       0.026179
FAM_CV                                    0.049552       0.034150
ALLOPURINOLO                              0.049004       0.032755
INS_CARD                                  0.042526       0.016826
INDAPAMIDE                                0.042230       0.039785
DIABETE                                   0.042033       0.016513
FIBRATI                                   0.040800       0.027415
FAM_IPERT                                 0.039678       0.022141
SARTANI                                   0.039193       0.012059
IRC                                       0.038456       0.009403
IPERTESO                                  0.037433       0.019686
ATT_FIS                                   0.035388       0.017937
ACEI                                      0.035068       0.016516
PLACCA                                    0.034641       0.018226
ANNI_MENOP                                0.034063       0.007285
ALCOOL                                    0.031660       0.006989
CREATININA                                0.028295       0.010763
RESINE                                    0.027813       0.013081
EXFUMO                                    0.025720       0.008469
OMEGA_3                                   0.025240       0.014061
ALB_CAT                                   0.022412       0.016987
ALTRO_CAA                                 0.021402       0.005380
FU_NF_FA                                  0.021102       0.007940
DIURETICI                                 0.020893       0.005317
STATINA                                   0.018520       0.005229
ETANOLO_G_DIE                             0.018265       0.007605
URICEMIA                                  0.017776       0.008056
EZETEMIBE                                 0.016609       0.006304
FA_BASE                                   0.016104       0.009695
PCR                                       0.015688       0.005472
NF_FA                                     0.014931       0.008487
FUMO_ATT                                  0.013894       0.004478
TG                                        0.013300       0.005177
CAA_DIID                                  0.012908       0.008109
ETA                                       0.012845       0.003817
IMT                                       0.012069       0.002433
NORMOMICROMACRO                           0.011403       0.002476
FC                                        0.011380       0.007637
PAS                                       0.010671       0.004414
PAD                                       0.010359       0.003565
ACIDO_NICOTINICO                          0.009517       0.002518
BMI                                       0.009486       0.006134
HF_BASE                                   0.009375       0.002362
PESO                                      0.009233       0.004358
