SHAP — HURRAH | tabicl | preprocess: -1 | seed: 42
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HCTZ                                      0.431354       0.103614
ALLOPURINOLO                              0.289875       0.096959
ALTRO_CAA                                 0.217064       0.089026
CLORTALIDONE                              0.172718       0.103905
SARTANI                                   0.162332       0.090440
GLICEMIA                                  0.121207       0.059752
ALCOOL                                    0.095979       0.044018
VITA                                      0.071426       0.039884
ATT_FIS                                   0.068382       0.031500
DELL_ANSA                                 0.066885       0.066144
FU_NF_FA                                  0.060509       0.028472
CREATININA                                0.060079       0.026834
GOTTA                                     0.057713       0.046151
DIURETICI                                 0.055732       0.032882
HB                                        0.052323       0.026200
HDL                                       0.052236       0.027984
FIBRATI                                   0.052018       0.043168
CAA_DIID                                  0.052012       0.017265
BETABLOCCANTI                             0.048202       0.031201
OMEGA_3                                   0.047899       0.026746
HT                                        0.046865       0.032045
AZOTEMIA                                  0.042834       0.016850
INS_CARD                                  0.042030       0.014555
ATT_FIS_H_SETT                            0.041922       0.020528
EXFUMO                                    0.040902       0.033551
ETANOLO_G_DIE                             0.040632       0.012258
FC                                        0.039607       0.026394
IRC                                       0.037932       0.020601
NORMOMICROMACRO                           0.037288       0.012531
PLACCA                                    0.035917       0.008286
SESSO                                     0.034682       0.016638
INDAPAMIDE                                0.031848       0.013100
FAM_CV                                    0.031704       0.008868
PCR                                       0.030454       0.015109
RESINE                                    0.030006       0.023949
DIABETE                                   0.025896       0.015724
ALB_CAT                                   0.025590       0.013098
ACEI                                      0.025448       0.013257
PAS                                       0.025150       0.007084
HF_BASE                                   0.024786       0.017376
URICEMIA                                  0.023358       0.006275
CBV_BASE                                  0.023112       0.006306
ALTEZZA                                   0.022135       0.008185
IPERTESO                                  0.022118       0.005803
NF_FA                                     0.021208       0.007867
ACIDO_NICOTINICO                          0.020801       0.007447
IMA_BASE                                  0.020794       0.007527
FAM_IPERT                                 0.020379       0.010877
FUMO_ATT                                  0.019787       0.001817
MENOPAUSA                                 0.019073       0.008999
IMT                                       0.017893       0.006774
BMI                                       0.017387       0.006181
STATINA                                   0.017174       0.006409
ANNI_MENOP                                0.015584       0.005827
FA_BASE                                   0.015153       0.005604
EZETEMIBE                                 0.014963       0.003615
PAD                                       0.014788       0.004292
ETA                                       0.014643       0.005250
PESO                                      0.014368       0.003939
CT                                        0.012423       0.004097
TG                                        0.010086       0.003986

--- deepsurv_vanilla ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HCTZ                                      0.383620       0.204365
SARTANI                                   0.177333       0.085938
CLORTALIDONE                              0.144697       0.136029
ALLOPURINOLO                              0.142163       0.093358
ALTRO_CAA                                 0.121603       0.045368
ATT_FIS_H_SETT                            0.121223       0.104989
AZOTEMIA                                  0.087315       0.020457
CREATININA                                0.083342       0.029463
GOTTA                                     0.080537       0.036324
SESSO                                     0.077715       0.035563
HB                                        0.077292       0.039595
GLICEMIA                                  0.073284       0.053143
ETANOLO_G_DIE                             0.063292       0.019673
DELL_ANSA                                 0.062132       0.045868
PLACCA                                    0.061202       0.014352
ATT_FIS                                   0.056051       0.026081
CBV_BASE                                  0.055539       0.034299
HDL                                       0.051180       0.010057
CAA_DIID                                  0.047803       0.028925
ALCOOL                                    0.045862       0.026757
INDAPAMIDE                                0.041222       0.015725
VITA                                      0.040778       0.020736
ACEI                                      0.040564       0.027151
EXFUMO                                    0.040200       0.021280
INS_CARD                                  0.039053       0.006238
IPERTESO                                  0.037313       0.018276
HT                                        0.036901       0.014800
FIBRATI                                   0.036838       0.017386
DIURETICI                                 0.036453       0.012808
FAM_IPERT                                 0.032979       0.016563
BETABLOCCANTI                             0.032914       0.012925
EZETEMIBE                                 0.032518       0.014210
FC                                        0.031757       0.010813
IMT                                       0.031741       0.021100
NORMOMICROMACRO                           0.027677       0.012373
FUMO_ATT                                  0.027181       0.010291
ALTEZZA                                   0.027079       0.014174
IMA_BASE                                  0.026895       0.009043
IRC                                       0.026190       0.014138
FU_NF_FA                                  0.024587       0.004805
HF_BASE                                   0.024284       0.010321
URICEMIA                                  0.023570       0.008657
ALB_CAT                                   0.023545       0.010739
DIABETE                                   0.023357       0.005538
NF_FA                                     0.022284       0.010475
OMEGA_3                                   0.021072       0.002587
FAM_CV                                    0.019238       0.006425
ACIDO_NICOTINICO                          0.018962       0.010438
PESO                                      0.018685       0.005907
PCR                                       0.017992       0.006666
RESINE                                    0.017386       0.006106
STATINA                                   0.017147       0.006175
ANNI_MENOP                                0.016990       0.007173
CT                                        0.016419       0.005294
MENOPAUSA                                 0.016279       0.003894
BMI                                       0.016137       0.006099
FA_BASE                                   0.014991       0.006424
PAS                                       0.014554       0.011097
PAD                                       0.013967       0.006573
TG                                        0.013072       0.004281
ETA                                       0.013033       0.005270

--- rsf ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
HB                                        3.925017       0.733869
SESSO                                     2.876699       0.679754
SARTANI                                   2.695418       0.399059
HCTZ                                      2.217910       1.101011
CLORTALIDONE                              2.085986       0.285247
ALCOOL                                    2.025602       0.549622
