dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
HURRAH	tabicl	789	-1	100	100	tab_deepsurv_simple	0.9614062019318423	0.015005736786082573	0.6737512890718672	0.04917534519319228
HURRAH	tabicl	789	-1	100	100	tab_deepsurv_vanilla	0.9647435620402041	0.01874336283078944	0.6612311996689739	0.04266789307184174
HURRAH	tabicl	789	-1	100	100	tab_rsf	0.9770408728357793	0.008133111296188333	0.6429556683074438	0.048737333132447706
HURRAH	tabicl	789	-1	100	100	tab_cox	0.9832667697955302	0.020755954474706576	0.5695516244734802	0.06623204076099572
HURRAH	tabicl	789	-1	100	100	deepsurv_simple	0.8738241213772351	0.08186868099433571	0.7064891544875972	0.06437483178114002
HURRAH	tabicl	789	-1	100	100	deepsurv_vanilla	0.8576613601306473	0.05097826732928195	0.6052333542346824	0.059289153367950716
HURRAH	tabicl	789	-1	100	100	rsf	0.9707666212169718	0.006894490543042136	0.7199537458408588	0.030394952169916792
HURRAH	tabicl	789	-1	100	100	cox	0.9456496858411232	0.02115877529433137	0.7359826496624866	0.052723183930748665
HURRAH	tabicl	789	-1	500	500	tab_deepsurv_simple	0.9535163498828927	0.006589650058744003	0.7301585197112226	0.0271023337045544
HURRAH	tabicl	789	-1	500	500	tab_deepsurv_vanilla	0.951515787613953	0.0047081761152958	0.7278281882082365	0.04409859182146975
HURRAH	tabicl	789	-1	500	500	tab_rsf	0.9840379312173007	0.0021902179766356664	0.6422408047085892	0.04186459732912328
HURRAH	tabicl	789	-1	500	500	tab_cox	0.9015742264887692	0.1565600000024358	0.5508580904260002	0.10676544258940171
HURRAH	tabicl	789	-1	500	500	deepsurv_simple	0.8744568442794296	0.012861986436037762	0.8037659221260883	0.01670533911755245
HURRAH	tabicl	789	-1	500	500	deepsurv_vanilla	0.8625731817679609	0.025954869103411094	0.7524527406809153	0.02519533192789177
HURRAH	tabicl	789	-1	500	500	rsf	0.9424081316008281	0.012491682504331204	0.7883015588502071	0.01603925161746208
