SHAP — OrmoniTirodei | tabpfn | preprocess: NaN | seed: 456
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
fT3                                      11.663133       5.624135
fT4                                       9.694241       3.502364
Vessels                                   7.808298       2.310961
HR                                        5.844039       2.113959
Angiography                               5.221631       1.797887
DimPP                                     4.956406       1.930783
vsx                                       4.892903       2.108610
fe                                        3.768391       1.339709
Normal                                    3.092619       2.236645
TSH                                       2.797407       1.029419
B-Blockers                                2.781977       1.715481
EPA                                       2.776301       0.391621
LDL                                       2.752677       1.181131
WmsiBas                                   2.631718       1.718559
Weight                                    2.588173       1.255297
Diuretics                                 2.294514       0.975435
Systolic blood pressure                   2.226097       1.612393
Diastolic blood pressure                  1.980145       0.727703
Euthyroid                                 1.772807       0.508710
Valvulopatie                              1.615881       0.858907
Height                                    1.245626       0.352879
Previous Myocardial Infarction            1.166149       0.429682
Glycemia                                  1.162865       0.669668
Antidiabetici                             1.151518       0.917652
Diabetes
History of diabetes              1.111136       0.403835
CABG _event                               1.089712       0.629443
Nitrates                                  1.028553       0.625280
Primary Dilated
Cardiomyopathy            1.008393       0.736217
Dyslipidemia
Hystory of dyslipidemia       0.991532       0.267838
ACE-inhibitors                            0.981486       0.515896
Previous CABG                             0.966720       0.472282
Gender (Male = 1)                         0.943787       0.430159
PCI                                       0.875273       0.537259
Ipertensione                              0.863481       0.264925
Post-ischemic Dilated
Cardiomyopathy       0.861768       0.343987
Total cholesterol                         0.858859       0.488406
Triglycerides                             0.854891       0.324543
Atrial Fibrillation                       0.851334       0.290342
Low T3                                    0.848700       0.308014
Angina                                    0.837359       0.510027
Acute Myocardial Infarction               0.774716       0.222709
MalattiaVasoAorta                         0.722545       0.188433
HDL                                       0.717242       0.388722
BMI                                       0.715302       0.202494
Antiplatelet                              0.703732       0.207895
Non Fatal AMI (Follow-Up)_event           0.698669       0.230937
PMI                                       0.695854       0.436926
Subclinical primary hyperthyroidism
(SCT)       0.691578       0.505321
CABG                                      0.688770       0.341771
DimSettoIV                                0.666749       0.242426
Hypertension
History of hypertension       0.662638       0.209963
PCI_event                                 0.655550       0.255666
MIN                                       0.624906       0.494486
Calcium channel blockers                  0.623461       0.212948
Non Fatal AMI (Follow-Up)                 0.616902       0.110922
Ipertiroidismo                            0.594338       0.187656
CAD                                       0.581198       0.238415
Documented resting 
or exertional ischemia       0.578830       0.295553
Aritmie                                   0.558539       0.355117
AMI                                       0.537100       0.211990
Subclinical primary hypothyroidism (SCH)       0.512761       0.148647
Pericardite                               0.486605       0.361972
Ipotiroidismo                             0.474195       0.233684
Previous PCI                              0.469837       0.150588
Amiodarone                                0.439562       0.147377
Ictus                                     0.416979       0.251414
Smoke
History of smoke                    0.413555       0.205234
Miocardite                                0.342873       0.361250
Ictus_event                               0.327498       0.276563
SindromeX                                 0.296241       0.396103
MIO                                       0.261506       0.359162
Endocardite                               0.063496       0.126992
EmboliaPolmonare                          0.000000       0.000000

--- cox ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
Age                                       0.167534       0.069631
Creatinina                                0.058627       0.020993
Ipolipemizzanti                           0.054434       0.024770
fT3                                       0.031697       0.017311
fe                                        0.029200       0.008704
fT4                                       0.021527       0.015549
DimPP                                     0.017121       0.009719
EPA                                       0.012846       0.006760
Vessels                                   0.011019       0.010333
Diuretics                                 0.009016       0.004470
Angiography                               0.008671       0.002813
WmsiBas                                   0.008553       0.007173
B-Blockers                                0.007821       0.004994
Diastolic blood pressure                  0.007813       0.005608
vsx                                       0.007539       0.004689
Height                                    0.007138       0.001820
Systolic blood pressure                   0.006945       0.006367
PCI                                       0.006304       0.000900
Ipertensione                              0.006148       0.004990
Weight                                    0.005636       0.003289
LDL                                       0.005322       0.005317
HR                                        0.005170       0.003003
BMI                                       0.005025       0.003084
TSH                                       0.004798       0.003123
Nitrates                                  0.004072       0.004031
Euthyroid                                 0.003227       0.002475
Low T3                                    0.003175       0.000480
Gender (Male = 1)                         0.003080       0.001208
AMI                                       0.003002       0.003635
Antidiabetici                             0.002927       0.001739
Aritmie                                   0.002775       0.003079
PMI                                       0.002737       0.002657
Previous Myocardial Infarction            0.002683       0.001692
Total cholesterol                         0.002647       0.002446
Valvulopatie                              0.002549       0.001323
CAD                                       0.002532       0.001482
Triglycerides                             0.002499       0.001771
Angina                                    0.002439       0.001241
CABG _event                               0.002287       0.001478
DimSettoIV                                0.002146       0.001643
Calcium channel blockers                  0.002143       0.001315
Dyslipidemia
Hystory of dyslipidemia       0.002082       0.002017
PCI_event                                 0.001963       0.001137
MalattiaVasoAorta                         0.001961       0.001428
Non Fatal AMI (Follow-Up)                 0.001882       0.000579
Glycemia                                  0.001865       0.000996
Hypertension
History of hypertension       0.001850       0.000606
HDL                                       0.001822       0.000676
Ictus                                     0.001768       0.001350
Post-ischemic Dilated
Cardiomyopathy       0.001687       0.000781
Diabetes
History of diabetes              0.001679       0.000611
CABG                                      0.001677       0.001335
Ipotiroidismo                             0.001666       0.001116
Non Fatal AMI (Follow-Up)_event           0.001551       0.000689
Primary Dilated
Cardiomyopathy            0.001491       0.000603
Atrial Fibrillation                       0.001479       0.000436
Amiodarone                                0.001456       0.000824
Antiplatelet                              0.001427       0.000524
ACE-inhibitors                            0.001362       0.000613
Subclinical primary hyperthyroidism
(SCT)       0.001286       0.001455
Previous CABG                             0.001220       0.000464
Ipertiroidismo                            0.001190       0.001085
Documented resting 
or exertional ischemia       0.001187       0.000753
Normal                                    0.001180       0.000422
Subclinical primary hypothyroidism (SCH)       0.001055       0.000931
Acute Myocardial Infarction               0.001021       0.000487
Pericardite                               0.000950       0.000820
Previous PCI                              0.000828       0.000423
MIN                                       0.000732       0.000784
Ictus_event                               0.000724       0.000544
Smoke
History of smoke                    0.000621       0.000319
Miocardite                                0.000479       0.000489
SindromeX                                 0.000455       0.000678
Endocardite                               0.000120       0.000239
MIO                                       0.000103       0.000136
EmboliaPolmonare                          0.000000       0.000000

--- deepsurv_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
Age                                       0.449160       0.076754
Ipolipemizzanti                           0.165453       0.035372
Creatinina                                0.107623       0.017994
fT3                                       0.065094       0.020237
DimPP                                     0.063729       0.026079
fT4                                       0.060931       0.023769
fe                                        0.049693       0.014236
Vessels                                   0.042106       0.017346
Diuretics                                 0.025724       0.004066
vsx                                       0.025654       0.010179
Angiography                               0.023381       0.008544
EPA                                       0.021430       0.012193
HR                                        0.019900       0.008463
TSH                                       0.015566       0.001883
WmsiBas                                   0.014571       0.004748
Weight                                    0.014304       0.006269
Systolic blood pressure                   0.013402       0.011613
LDL                                       0.011812       0.004325
Height                                    0.011220       0.003116
PCI                                       0.009852       0.002824
Diastolic blood pressure                  0.009531       0.003309
B-Blockers                                0.009123       0.004023
Antidiabetici                             0.008902       0.002581
Normal                                    0.008567       0.009113
Nitrates                                  0.008516       0.003769
Euthyroid                                 0.008186       0.002855
Ipertensione                              0.007010       0.002589
Glycemia                                  0.006995       0.001808
Valvulopatie                              0.006610       0.003906
Dyslipidemia
Hystory of dyslipidemia       0.006445       0.001660
Hypertension
History of hypertension       0.006305       0.003227
ACE-inhibitors                            0.005729       0.003531
BMI                                       0.005606       0.003257
PCI_event                                 0.005347       0.004899
Previous Myocardial Infarction            0.005329       0.002086
Gender (Male = 1)                         0.005006       0.001184
Non Fatal AMI (Follow-Up)                 0.004978       0.001657
Triglycerides                             0.004903       0.002462
Diabetes
History of diabetes              0.004773       0.002755
Amiodarone                                0.004639       0.001678
Acute Myocardial Infarction               0.004462       0.001538
CAD                                       0.004425       0.003702
MalattiaVasoAorta                         0.004334       0.001473
Atrial Fibrillation                       0.004261       0.001982
PMI                                       0.004200       0.001949
DimSettoIV                                0.004165       0.001947
Previous CABG                             0.004084       0.002233
Total cholesterol                         0.004054       0.000783
Ipertiroidismo                            0.004010       0.001756
HDL                                       0.003886       0.002830
Aritmie                                   0.003790       0.001908
Post-ischemic Dilated
Cardiomyopathy       0.003630       0.001461
Pericardite                               0.003607       0.002802
AMI                                       0.003607       0.000832
Low T3                                    0.003564       0.001255
Non Fatal AMI (Follow-Up)_event           0.003551       0.001287
Primary Dilated
Cardiomyopathy            0.003534       0.002854
Antiplatelet                              0.003383       0.001145
Subclinical primary hypothyroidism (SCH)       0.003378       0.001438
MIN                                       0.003339       0.002846
CABG                                      0.003325       0.001912
Previous PCI                              0.003249       0.002016
Calcium channel blockers                  0.003196       0.001519
CABG _event                               0.002855       0.000886
Documented resting 
or exertional ischemia       0.002726       0.001061
Subclinical primary hyperthyroidism
(SCT)       0.002724       0.001996
Smoke
History of smoke                    0.002651       0.001025
Angina                                    0.002630       0.001572
Ipotiroidismo                             0.001960       0.001069
Ictus_event                               0.001667       0.002019
Ictus                                     0.001312       0.001330
Endocardite                               0.001250       0.002500
SindromeX                                 0.001225       0.001050
MIO                                       0.001165       0.001530
Miocardite                                0.000847       0.000774
EmboliaPolmonare                          0.000000       0.000000
