dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
OrmoniTirodei	tabpfn	77	-1	100	100	tab_deepsurv_simple	0.8952382859279602	0.022853968198396718	0.7074617175442274	0.014491490039095481
OrmoniTirodei	tabpfn	77	-1	100	100	tab_deepsurv_vanilla	0.9021866808574227	0.019637027727850476	0.7124335422590317	0.01797199000403367
OrmoniTirodei	tabpfn	77	-1	100	100	tab_rsf	0.9574545033229507	0.013692647258899975	0.6908111637590227	0.022898782978776244
OrmoniTirodei	tabpfn	77	-1	100	100	tab_cox	0.9420503862666372	0.0060173662632267	0.6278169449966603	0.10133880947486253
OrmoniTirodei	tabpfn	77	-1	100	100	deepsurv_simple	0.7132521643982266	0.0873426352355016	0.6293814743825157	0.04855478872668345
OrmoniTirodei	tabpfn	77	-1	100	100	deepsurv_vanilla	0.7551454498517904	0.06487813843408212	0.6367967147018991	0.02880606137994045
OrmoniTirodei	tabpfn	77	-1	100	100	rsf	0.9489319295050402	0.007837615061941704	0.7299465311973091	0.010317662736859206
OrmoniTirodei	tabpfn	77	-1	100	100	cox				
OrmoniTirodei	tabpfn	77	-1	500	500	tab_deepsurv_simple	0.9117573502113521	0.005772086543478034	0.7736888908666455	0.012252168441327047
OrmoniTirodei	tabpfn	77	-1	500	500	tab_deepsurv_vanilla	0.911638018976188	0.007147395585168629	0.7734469721656202	0.01103229847391187
OrmoniTirodei	tabpfn	77	-1	500	500	tab_rsf	0.9619964184541914	0.0015995332935500827	0.7562082372410923	0.01791990415766444
OrmoniTirodei	tabpfn	77	-1	500	500	tab_cox	0.9265276326666992	0.00532580352758825	0.7207797147050062	0.03642074876961361
OrmoniTirodei	tabpfn	77	-1	500	500	deepsurv_simple	0.8067094726958915	0.01859234770215941	0.7542551327652489	0.01624530773811126
OrmoniTirodei	tabpfn	77	-1	500	500	deepsurv_vanilla	0.7901899429041235	0.03232938842002339	0.7352888272589958	0.029509915427956265
OrmoniTirodei	tabpfn	77	-1	500	500	rsf	0.9454698035875133	0.004586948158362629	0.7745511053313351	0.013943906999948553
OrmoniTirodei	tabpfn	77	-1	500	500	cox	0.7991047872050073	0.0	0.7914776339586073	0.0
OrmoniTirodei	tabpfn	77	-1	1000	1000	tab_deepsurv_simple	0.9150188182398322	0.007142716604126133	0.7820924002009352	0.0108114113262096
