dataset	foundation_model	seed	preprocess	sample_size	actual_size	metric	train_mean	train_std	test_mean	test_std
OrmoniTirodei	tabpfn	456	-1	100	100	tab_deepsurv_simple	0.9159874246182402	0.020085377272045724	0.7180950471716164	0.026579403592708203
OrmoniTirodei	tabpfn	456	-1	100	100	tab_deepsurv_vanilla	0.9349147418554749	0.011682602038900187	0.7195182917728594	0.03408580003945926
OrmoniTirodei	tabpfn	456	-1	100	100	tab_rsf	0.9471616163212996	0.006891076465753875	0.693638633892314	0.04552400906080647
OrmoniTirodei	tabpfn	456	-1	100	100	tab_cox	0.9604314832771076	0.008479116529426747	0.63390116700269	0.0889174640473118
OrmoniTirodei	tabpfn	456	-1	100	100	deepsurv_simple	0.7057375520421613	0.02301337217053267	0.6438069744599701	0.030199667660935743
OrmoniTirodei	tabpfn	456	-1	100	100	deepsurv_vanilla	0.8250245970923542	0.05969301098140819	0.6458174724921433	0.02970708923511562
OrmoniTirodei	tabpfn	456	-1	100	100	rsf	0.9297151503985932	0.022020752705856718	0.7167823341883972	0.021539009705809756
OrmoniTirodei	tabpfn	456	-1	100	100	cox				
OrmoniTirodei	tabpfn	456	-1	500	500	tab_deepsurv_simple	0.9125526782984004	0.014373001952182704	0.769015559077048	0.011393887185572287
OrmoniTirodei	tabpfn	456	-1	500	500	tab_deepsurv_vanilla	0.9170330568877642	0.01284605677709054	0.7616957055795383	0.024173103286183894
OrmoniTirodei	tabpfn	456	-1	500	500	tab_rsf	0.9523645370046797	0.004271730481788938	0.7527304579041514	0.015886656339119735
OrmoniTirodei	tabpfn	456	-1	500	500	tab_cox	0.8914855248443081	0.0665087815489052	0.7664979886204661	0.015387442884258085
OrmoniTirodei	tabpfn	456	-1	500	500	deepsurv_simple	0.7922009647999745	0.026504563912259676	0.7443815329220129	0.018353240054913258
OrmoniTirodei	tabpfn	456	-1	500	500	deepsurv_vanilla	0.8026070656201458	0.021040221650268344	0.7300770539328572	0.02158011082056697
OrmoniTirodei	tabpfn	456	-1	500	500	rsf	0.9129412831439625	0.006166041074754107	0.7654767789116113	0.011383208408906092
OrmoniTirodei	tabpfn	456	-1	500	500	cox				
OrmoniTirodei	tabpfn	456	-1	1000	1000	tab_deepsurv_simple	0.9095978313600334	0.00499957421548248	0.7851235464609392	0.016815006317747957
OrmoniTirodei	tabpfn	456	-1	1000	1000	tab_deepsurv_vanilla	0.9127322293810675	0.005123801485939032	0.7778840931766021	0.017938211768145383
OrmoniTirodei	tabpfn	456	-1	1000	1000	tab_rsf	0.9542676125438817	0.002289335664118759	0.7752837325960392	0.014865688260208286
OrmoniTirodei	tabpfn	456	-1	1000	1000	tab_cox	0.9197421798928914	0.004457440009810278	0.78874814861207	0.015292691050242278
OrmoniTirodei	tabpfn	456	-1	1000	1000	deepsurv_simple	0.7934434978816779	0.01516433789518322	0.7688900418614864	0.012141231457414286
OrmoniTirodei	tabpfn	456	-1	1000	1000	deepsurv_vanilla	0.8016734490170789	0.014015899807131806	0.768860827836521	0.01201923584505367
OrmoniTirodei	tabpfn	456	-1	1000	1000	rsf	0.9085254666774928	0.004329341348387715	0.7854410253900502	0.012861614694642996
OrmoniTirodei	tabpfn	456	-1	1000	1000	cox	0.8080481127214958	0.009214329787101695	0.7786014459081316	0.019715036446349626
OrmoniTirodei	tabpfn	456	-1	2500	2500	tab_deepsurv_simple	0.9149486431544724	0.0045302260272560395	0.7878990814174838	0.014644507113355115
OrmoniTirodei	tabpfn	456	-1	2500	2500	tab_deepsurv_vanilla	0.9146226109199846	0.0013752626604916626	0.7810177232837555	0.017831975450137285
OrmoniTirodei	tabpfn	456	-1	2500	2500	tab_rsf	0.958202942952053	0.00214821490463588	0.7779789791604401	0.017733827761122364
OrmoniTirodei	tabpfn	456	-1	2500	2500	tab_cox	0.9204019435590343	0.001757134466973232	0.7896831291139825	0.016172649777270544
OrmoniTirodei	tabpfn	456	-1	2500	2500	deepsurv_simple	0.7920670965914607	0.012532160875607495	0.7822560541616934	0.009503295284639512
OrmoniTirodei	tabpfn	456	-1	2500	2500	deepsurv_vanilla	0.8054197622080501	0.010419215422494233	0.7835992186290259	0.016186200071202906
OrmoniTirodei	tabpfn	456	-1	2500	2500	rsf	0.9090738112315154	0.0015378255035594075	0.7903273040064257	0.011618655038721127
OrmoniTirodei	tabpfn	456	-1	2500	2500	cox	0.8039682463681089	0.007138978139667719	0.7895050938307435	0.015414176700393722
OrmoniTirodei	tabpfn	456	-1	5000	5000	tab_deepsurv_simple	0.9138704388009705	0.0061723830127293645	0.7944677844735335	0.014158751190998145
OrmoniTirodei	tabpfn	456	-1	5000	5000	tab_deepsurv_vanilla	0.9150207549256703	0.0006795906168028961	0.7755153785619828	0.013158414022516739
OrmoniTirodei	tabpfn	456	-1	5000	5000	tab_rsf	0.9593187508073628	0.0013569514178393546	0.7820033177625487	0.01442081350472298
OrmoniTirodei	tabpfn	456	-1	5000	5000	tab_cox	0.9192161327412227	0.0010153420883202164	0.795594021283216	0.014563123982547492
OrmoniTirodei	tabpfn	456	-1	5000	5000	deepsurv_simple	0.7853938529745783	0.009844011124715736	0.7828147419165464	0.009043059461772538
OrmoniTirodei	tabpfn	456	-1	5000	5000	deepsurv_vanilla	0.808240669090494	0.00346310945428516	0.7917323498239721	0.016056684467890617
OrmoniTirodei	tabpfn	456	-1	5000	5000	rsf	0.9082792486149891	0.001091707918434096	0.7928380969611021	0.010808223591602857
