SHAP Aggregated — OrmoniTirodei | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
Subclinical primary hypothyroidism (SCH)      0.783489      0.368825
Acute Myocardial Infarction                   0.783456      0.298297
Non Fatal AMI (Follow-Up)_event               0.783074      0.417694
Non Fatal AMI (Follow-Up)                     0.763425      0.332691
Calcium channel blockers                      0.751486      0.302136
Nitrates                                      0.750042      0.295722
PCI_event                                     0.737483      0.383130
Primary Dilated
Cardiomyopathy                                0.731164      0.313319
Ipertensione                                  0.695818      0.337870
Smoke
History of smoke                              0.689916      0.276184
ACE-inhibitors                                0.685658      0.275237
Previous PCI                                  0.685290      0.283682
CABG _event                                   0.684811      0.238673
Hypertension
History of hypertension                       0.675568      0.277409
Pericardite                                   0.665152      0.454296
AMI                                           0.658023      0.286704
Subclinical primary hyperthyroidism
(SCT)                                         0.622528      0.295214
Normal                                        0.590397      0.310271
Ipertiroidismo                                0.583745      0.388204
Ipotiroidismo                                 0.494644      0.322754
MIN                                           0.454923      0.387910
Ictus_event                                   0.443145      0.383561
SindromeX                                     0.375791      0.500840
Ictus                                         0.358397      0.322362
Miocardite                                    0.344170      0.337658
MIO                                           0.110797      0.215521
EmboliaPolmonare                              0.089359      0.128472
Endocardite                                   0.069317      0.066966

--- cox_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.448237      0.063386
fe                                            0.218507      0.032796
Angiography                                   0.141893      0.029948
Diuretics                                     0.131970      0.018534
Creatinina                                    0.074800      0.029879
Ipolipemizzanti                               0.069515      0.012449
EPA                                           0.058892      0.019556
Weight                                        0.054267      0.017360
Valvulopatie                                  0.053869      0.014594
Diabetes
History of diabetes                           0.052163      0.011781
Dyslipidemia
Hystory of dyslipidemia                       0.043665      0.010677
Vessels                                       0.042568      0.010680
LDL                                           0.034536      0.011153
BMI                                           0.026300      0.011021
fT4                                           0.026182      0.013372
Subclinical primary hypothyroidism (SCH)      0.022612      0.009428
Euthyroid                                     0.022605      0.007994
Diastolic blood pressure                      0.022445      0.012965
Glycemia                                      0.020599      0.013916
Previous CABG                                 0.019088      0.009912
Low T3                                        0.018873      0.006546
B-Blockers                                    0.018679      0.005186
Systolic blood pressure                       0.017333      0.008331
Post-ischemic Dilated
Cardiomyopathy                                0.016835      0.005827
fT3                                           0.016351      0.008401
ACE-inhibitors                                0.015906      0.006937
Aritmie                                       0.015637      0.007726
Gender (Male = 1)                             0.015498      0.005483
PCI                                           0.015037      0.004894
MIN                                           0.014685      0.010995
Total cholesterol                             0.013563      0.006522
CAD                                           0.012832      0.005798
TSH                                           0.012685      0.008525
PMI                                           0.012503      0.005826
DimSettoIV                                    0.012394      0.005694
CABG _event                                   0.012237      0.004707
HDL                                           0.011592      0.006386
HR                                            0.011528      0.006691
Non Fatal AMI (Follow-Up)                     0.011508      0.005439
vsx                                           0.011490      0.005391
Angina                                        0.011261      0.006340
AMI                                           0.011212      0.007063
Previous Myocardial Infarction                0.010696      0.002886
Subclinical primary hyperthyroidism
(SCT)                                         0.010563      0.005700
Acute Myocardial Infarction                   0.010516      0.007533
MalattiaVasoAorta                             0.009732      0.004909
CABG                                          0.009712      0.004565
DimPP                                         0.009615      0.003248
PCI_event                                     0.009205      0.004938
Non Fatal AMI (Follow-Up)_event               0.009081      0.004038
Ictus                                         0.008874      0.006808
Antiplatelet                                  0.008852      0.004595
Antidiabetici                                 0.008731      0.004171
Atrial Fibrillation                           0.008674      0.003559
Triglycerides                                 0.008566      0.004851
Normal                                        0.008386      0.005584
Calcium channel blockers                      0.007970      0.002525
Nitrates                                      0.007665      0.002144
Hypertension
History of hypertension                       0.007238      0.003387
Ipertensione                                  0.007039      0.003442
Pericardite                                   0.006677      0.005675
Ipertiroidismo                                0.006419      0.005060
Ipotiroidismo                                 0.006414      0.004851
Previous PCI                                  0.006244      0.002929
Height                                        0.006102      0.002873
WmsiBas                                       0.006073      0.002701
Documented resting
or exertional ischemia                        0.005841      0.002553
Smoke
History of smoke                              0.005587      0.002046
Primary Dilated
Cardiomyopathy                                0.005302      0.002989
Amiodarone                                    0.005292      0.002808
EmboliaPolmonare                              0.004038      0.006016
MIO                                           0.003206      0.004718
Ictus_event                                   0.003044      0.002747
Miocardite                                    0.002778      0.003010
SindromeX                                     0.001641      0.002205
Endocardite                                   0.000792      0.001194

======================================================================
  Preprocessing: NaN  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.503825      0.076700
Creatinina                                    0.126068      0.021538
Ipolipemizzanti                               0.119121      0.046702
fe                                            0.086113      0.022171
Angiography                                   0.065457      0.029590
DimPP                                         0.059396      0.015334
fT4                                           0.057342      0.020857
fT3                                           0.056183      0.013616
Diuretics                                     0.039696      0.013924
Vessels                                       0.036950      0.016167
HR                                            0.030668      0.017883
vsx                                           0.019082      0.006125
B-Blockers                                    0.018875      0.008268
EPA                                           0.017856      0.006676
TSH                                           0.015953      0.008231
PCI                                           0.014860      0.008857
Weight                                        0.014283      0.006328
Valvulopatie                                  0.014167      0.008288
WmsiBas                                       0.014041      0.009289
Systolic blood pressure                       0.013968      0.007117
Gender (Male = 1)                             0.013798      0.009503
Dyslipidemia
Hystory of dyslipidemia                       0.013550      0.011361
Height                                        0.011376      0.005958
Glycemia                                      0.010571      0.004418
Antidiabetici                                 0.009957      0.002862
Diastolic blood pressure                      0.009631      0.004329
Diabetes
History of diabetes                           0.009593      0.002271
LDL                                           0.009196      0.003466
Euthyroid                                     0.009112      0.002693
BMI                                           0.008754      0.003100
Ipertensione                                  0.008250      0.002758
Low T3                                        0.008208      0.002673
DimSettoIV                                    0.008088      0.003451
Previous Myocardial Infarction                0.007997      0.003087
Total cholesterol                             0.007564      0.004380
PMI                                           0.007166      0.003249
CAD                                           0.006830      0.003909
Amiodarone                                    0.006480      0.003388
Nitrates                                      0.006430      0.002807
Atrial Fibrillation                           0.006308      0.002411
Aritmie                                       0.006293      0.002781
HDL                                           0.006287      0.002160
CABG                                          0.006090      0.002765
Previous CABG                                 0.006046      0.002538
CABG _event                                   0.005794      0.002022
Post-ischemic Dilated
Cardiomyopathy                                0.005634      0.002837
Acute Myocardial Infarction                   0.005526      0.001940
Primary Dilated
Cardiomyopathy                                0.005492      0.003514
Triglycerides                                 0.005470      0.002422
Hypertension
History of hypertension                       0.005406      0.002198
Calcium channel blockers                      0.005305      0.002931
PCI_event                                     0.005172      0.002210
Smoke
History of smoke                              0.005139      0.002446
Subclinical primary hypothyroidism (SCH)      0.005079      0.002436
MalattiaVasoAorta                             0.004883      0.001811
Angina                                        0.004838      0.001871
Normal                                        0.004703      0.002609
Subclinical primary hyperthyroidism
(SCT)                                         0.004695      0.002017
Antiplatelet                                  0.004612      0.001502
Non Fatal AMI (Follow-Up)_event               0.004604      0.001487
ACE-inhibitors                                0.004510      0.002181
Non Fatal AMI (Follow-Up)                     0.004481      0.002124
AMI                                           0.004432      0.001670
Documented resting
or exertional ischemia                        0.004389      0.001360
Ipertiroidismo                                0.003932      0.002455
Previous PCI                                  0.003817      0.001756
MIN                                           0.003664      0.002556
Ictus                                         0.003294      0.003045
Pericardite                                   0.003207      0.001770
Ipotiroidismo                                 0.002987      0.002035
Miocardite                                    0.002604      0.003102
Ictus_event                                   0.002354      0.002451
SindromeX                                     0.001654      0.001879
MIO                                           0.001302      0.002043
EmboliaPolmonare                              0.000655      0.001087
Endocardite                                   0.000566      0.000597

--- deepsurv_vanilla ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.438157      0.136078
Creatinina                                    0.126197      0.055764
Ipolipemizzanti                               0.087593      0.045833
Angiography                                   0.067402      0.029996
fe                                            0.066029      0.031907
DimPP                                         0.054664      0.020680
fT3                                           0.046849      0.017544
fT4                                           0.044302      0.017770
Vessels                                       0.043104      0.020923
Diuretics                                     0.026947      0.010762
HR                                            0.023701      0.010022
vsx                                           0.022872      0.010830
B-Blockers                                    0.021356      0.011195
EPA                                           0.020613      0.011295
TSH                                           0.015473      0.007120
Systolic blood pressure                       0.014844      0.009303
Weight                                        0.014660      0.005352
PCI                                           0.013116      0.010636
WmsiBas                                       0.013037      0.009562
DimSettoIV                                    0.011683      0.006779
Dyslipidemia
Hystory of dyslipidemia                       0.011465      0.009978
Gender (Male = 1)                             0.010631      0.003255
Diabetes
History of diabetes                           0.009810      0.004760
Valvulopatie                                  0.008874      0.005729
Height                                        0.008600      0.005296
Glycemia                                      0.008404      0.003915
Antidiabetici                                 0.008179      0.003747
Total cholesterol                             0.008089      0.004324
LDL                                           0.007864      0.002570
BMI                                           0.007318      0.003337
Low T3                                        0.007122      0.003243
Previous Myocardial Infarction                0.007113      0.003983
Euthyroid                                     0.007011      0.002833
Triglycerides                                 0.007008      0.003597
Ipertensione                                  0.006764      0.003574
Diastolic blood pressure                      0.006547      0.002523
CAD                                           0.006521      0.003362
Primary Dilated
Cardiomyopathy                                0.006118      0.003838
Previous CABG                                 0.005777      0.001995
Normal                                        0.005711      0.003097
PMI                                           0.005695      0.002723
Nitrates                                      0.005690      0.003721
Post-ischemic Dilated
Cardiomyopathy                                0.005435      0.002408
CABG                                          0.005357      0.002968
AMI                                           0.005272      0.002849
HDL                                           0.005197      0.002092
Subclinical primary hypothyroidism (SCH)      0.004967      0.002170
CABG _event                                   0.004951      0.002541
Angina                                        0.004696      0.002052
Atrial Fibrillation                           0.004638      0.001758
Acute Myocardial Infarction                   0.004598      0.002085
Aritmie                                       0.004565      0.002208
ACE-inhibitors                                0.004516      0.001798
PCI_event                                     0.004500      0.001763
Non Fatal AMI (Follow-Up)                     0.004488      0.002582
Amiodarone                                    0.004462      0.002415
Calcium channel blockers                      0.004368      0.001848
Hypertension
History of hypertension                       0.004344      0.002219
Antiplatelet                                  0.004337      0.002391
Documented resting
or exertional ischemia                        0.004274      0.002149
Non Fatal AMI (Follow-Up)_event               0.004251      0.001666
Ipertiroidismo                                0.004143      0.002357
Subclinical primary hyperthyroidism
(SCT)                                         0.004058      0.002368
Smoke
History of smoke                              0.003834      0.001542
Previous PCI                                  0.003834      0.001681
MalattiaVasoAorta                             0.003662      0.001981
Ipotiroidismo                                 0.003657      0.002483
Pericardite                                   0.003472      0.002116
Ictus_event                                   0.003011      0.002503
Ictus                                         0.002880      0.003196
MIN                                           0.002588      0.002131
SindromeX                                     0.001606      0.002168
Miocardite                                    0.001301      0.001520
MIO                                           0.001042      0.001950
EmboliaPolmonare                              0.001031      0.001387
Endocardite                                   0.000753      0.000953

--- rsf ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                          69.811797     12.239074
Creatinina                                   26.420759      6.686753
Ipolipemizzanti                              22.310030      5.083383
fe                                           16.037366      5.029481
Angiography                                  14.397753      6.449278
fT3                                          11.366212      3.479188
DimPP                                        10.672716      3.227173
Vessels                                       9.265299      3.999695
fT4                                           9.053377      2.656429
Diuretics                                     5.496830      2.634175
HR                                            5.185626      2.199960
vsx                                           3.964392      1.151044
B-Blockers                                    3.838869      1.474925
EPA                                           3.735232      1.073326
TSH                                           3.692918      1.332938
Weight                                        3.351386      1.194198
WmsiBas                                       2.614113      1.166631
Dyslipidemia
Hystory of dyslipidemia                       2.025239      1.329058
LDL                                           2.001631      0.809288
Height                                        1.806768      0.685115
Diabetes
History of diabetes                           1.797917      0.713988
Glycemia                                      1.784078      0.829386
Systolic blood pressure                       1.661505      1.001951
PCI                                           1.622035      0.668749
BMI                                           1.597588      0.529477
Nitrates                                      1.563590      0.903249
Previous Myocardial Infarction                1.437337      0.555814
Normal                                        1.431425      0.753445
Gender (Male = 1)                             1.416979      0.469319
Euthyroid                                     1.408199      0.497118
Diastolic blood pressure                      1.383945      0.515444
Ipertensione                                  1.376229      0.462341
Antidiabetici                                 1.361490      0.483692
DimSettoIV                                    1.345675      0.632258
PMI                                           1.308376      0.470625
Valvulopatie                                  1.300487      0.571855
Triglycerides                                 1.265449      0.473273
Total cholesterol                             1.216688      0.579248
HDL                                           1.186452      0.593393
Atrial Fibrillation                           1.170229      0.514254
Low T3                                        1.137692      0.554351
Primary Dilated
Cardiomyopathy                                1.108632      0.647559
Post-ischemic Dilated
Cardiomyopathy                                1.073099      0.459730
Previous CABG                                 1.051924      0.492201
Hypertension
History of hypertension                       1.040196      0.274960
Smoke
History of smoke                              1.032948      0.401584
Calcium channel blockers                      1.022290      0.406921
Aritmie                                       1.013835      0.442335
Non Fatal AMI (Follow-Up)                     0.991296      0.452649
Ipertiroidismo                                0.968626      0.458782
CABG                                          0.965278      0.437672
CAD                                           0.962736      0.394184
CABG _event                                   0.961526      0.380443
PCI_event                                     0.951270      0.393607
Subclinical primary hypothyroidism (SCH)      0.948220      0.342564
AMI                                           0.928500      0.353212
Acute Myocardial Infarction                   0.923115      0.356562
Non Fatal AMI (Follow-Up)_event               0.921971      0.462272
Amiodarone                                    0.917696      0.493534
Antiplatelet                                  0.889624      0.408304
MalattiaVasoAorta                             0.888247      0.411899
Angina                                        0.868669      0.326576
Documented resting
or exertional ischemia                        0.854842      0.251446
ACE-inhibitors                                0.807365      0.441916
Subclinical primary hyperthyroidism
(SCT)                                         0.777938      0.235512
Previous PCI                                  0.773016      0.275393
Ipotiroidismo                                 0.767118      0.404353
MIN                                           0.737641      0.500092
Pericardite                                   0.648457      0.463303
Ictus                                         0.643602      0.596910
Ictus_event                                   0.541974      0.379568
Miocardite                                    0.397457      0.435838
SindromeX                                     0.262568      0.402905
MIO                                           0.225067      0.378040
EmboliaPolmonare                              0.167078      0.202827
Endocardite                                   0.138941      0.138113

--- cox ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           4.027581      3.266133
Creatinina                                    1.665860      1.447656
Ipolipemizzanti                               1.276562      1.075313
fe                                            0.930068      0.915833
Angiography                                   0.762809      0.740294
fT3                                           0.602163      0.427304
fT4                                           0.438919      0.352226
DimPP                                         0.406769      0.316668
EPA                                           0.382552      0.325292
Diuretics                                     0.353287      0.316407
HR                                            0.327208      0.181450
Vessels                                       0.218159      0.267556
vsx                                           0.217882      0.196768
WmsiBas                                       0.180515      0.157014
B-Blockers                                    0.160205      0.164231
PCI                                           0.149422      0.181786
TSH                                           0.143284      0.090921
Dyslipidemia
Hystory of dyslipidemia                       0.129544      0.122180
Glycemia                                      0.125315      0.172489
LDL                                           0.117082      0.100734
Post-ischemic Dilated
Cardiomyopathy                                0.116055      0.149870
Weight                                        0.110083      0.099701
Documented resting
or exertional ischemia                        0.103597      0.106196
PMI                                           0.100720      0.128132
Diabetes
History of diabetes                           0.100571      0.089876
Gender (Male = 1)                             0.093871      0.072285
Euthyroid                                     0.090808      0.101052
Diastolic blood pressure                      0.087786      0.100807
Antidiabetici                                 0.086340      0.088185
Primary Dilated
Cardiomyopathy                                0.086250      0.080796
Systolic blood pressure                       0.080553      0.059633
Height                                        0.079343      0.083147
CABG _event                                   0.078620      0.089079
Previous CABG                                 0.076772      0.067922
Total cholesterol                             0.075363      0.059365
BMI                                           0.074933      0.046570
Amiodarone                                    0.072836      0.058500
Previous Myocardial Infarction                0.071776      0.082277
DimSettoIV                                    0.071295      0.076990
Nitrates                                      0.070198      0.078019
Valvulopatie                                  0.067338      0.043497
CAD                                           0.065560      0.065455
Subclinical primary hypothyroidism (SCH)      0.065457      0.080332
PCI_event                                     0.062255      0.064742
Atrial Fibrillation                           0.062182      0.043102
HDL                                           0.061576      0.067636
AMI                                           0.060802      0.063369
Low T3                                        0.057124      0.043700
Normal                                        0.056997      0.054300
Aritmie                                       0.055019      0.057170
Previous PCI                                  0.054541      0.066294
Triglycerides                                 0.053768      0.048424
Hypertension
History of hypertension                       0.051359      0.035568
Calcium channel blockers                      0.050094      0.034057
ACE-inhibitors                                0.049760      0.043497
Acute Myocardial Infarction                   0.048360      0.059173
Angina                                        0.046865      0.049877
Ipertensione                                  0.046552      0.029814
Non Fatal AMI (Follow-Up)                     0.044819      0.025879
Antiplatelet                                  0.043419      0.045383
Non Fatal AMI (Follow-Up)_event               0.042671      0.039097
Smoke
History of smoke                              0.041384      0.048162
Subclinical primary hyperthyroidism
(SCT)                                         0.040921      0.035783
CABG                                          0.040911      0.031303
Ictus                                         0.040755      0.055650
MIN                                           0.039418      0.044397
MalattiaVasoAorta                             0.036268      0.028460
Ipotiroidismo                                 0.035921      0.031974
Ipertiroidismo                                0.032895      0.025842
SindromeX                                     0.027579      0.038022
Pericardite                                   0.026568      0.029775
Miocardite                                    0.018806      0.031940
Ictus_event                                   0.018453      0.018531
MIO                                           0.012835      0.025511
EmboliaPolmonare                              0.005908      0.007295
Endocardite                                   0.002345      0.002336

--- deepsurv_tuned ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.487508      0.071728
Creatinina                                    0.117908      0.024965
Ipolipemizzanti                               0.106370      0.025893
fe                                            0.082800      0.020716
DimPP                                         0.065779      0.018223
Angiography                                   0.059937      0.028653
fT3                                           0.054681      0.015946
fT4                                           0.050601      0.017406
Vessels                                       0.045080      0.023273
Diuretics                                     0.033148      0.012284
HR                                            0.029040      0.015540
vsx                                           0.025204      0.009092
EPA                                           0.020341      0.006854
B-Blockers                                    0.017836      0.006599
TSH                                           0.016746      0.005923
Weight                                        0.015947      0.007723
PCI                                           0.012715      0.007435
Gender (Male = 1)                             0.012480      0.007360
Systolic blood pressure                       0.011179      0.007671
Dyslipidemia
Hystory of dyslipidemia                       0.011041      0.007882
WmsiBas                                       0.010849      0.004005
Diabetes
History of diabetes                           0.010839      0.004700
LDL                                           0.010658      0.005667
Glycemia                                      0.009824      0.003153
Height                                        0.009608      0.003863
Valvulopatie                                  0.008994      0.004641
Diastolic blood pressure                      0.007838      0.003093
DimSettoIV                                    0.007765      0.003204
Euthyroid                                     0.007486      0.002689
Nitrates                                      0.007027      0.002878
Antidiabetici                                 0.007021      0.002239
Previous CABG                                 0.006838      0.003166
Previous Myocardial Infarction                0.006628      0.002091
Low T3                                        0.006608      0.003321
PMI                                           0.006404      0.002901
Normal                                        0.006385      0.003312
HDL                                           0.006373      0.002580
BMI                                           0.006329      0.001995
Total cholesterol                             0.006287      0.002529
Primary Dilated
Cardiomyopathy                                0.006145      0.002862
Triglycerides                                 0.005839      0.002845
Ipertensione                                  0.005745      0.002504
PCI_event                                     0.005631      0.001945
Hypertension
History of hypertension                       0.005480      0.002065
Aritmie                                       0.005334      0.002211
CABG                                          0.005280      0.002685
AMI                                           0.005208      0.001988
Acute Myocardial Infarction                   0.005171      0.002412
Non Fatal AMI (Follow-Up)_event               0.005143      0.001722
CAD                                           0.005097      0.001866
Documented resting
or exertional ischemia                        0.005007      0.001971
Angina                                        0.005003      0.001950
Antiplatelet                                  0.004967      0.001662
Non Fatal AMI (Follow-Up)                     0.004939      0.002492
Calcium channel blockers                      0.004854      0.002071
Post-ischemic Dilated
Cardiomyopathy                                0.004843      0.002015
Ipertiroidismo                                0.004806      0.002357
Subclinical primary hyperthyroidism
(SCT)                                         0.004795      0.002155
CABG _event                                   0.004721      0.002325
Amiodarone                                    0.004623      0.001534
Atrial Fibrillation                           0.004506      0.002020
MalattiaVasoAorta                             0.004504      0.001404
Subclinical primary hypothyroidism (SCH)      0.004466      0.001966
ACE-inhibitors                                0.004392      0.001685
Previous PCI                                  0.004164      0.001826
Smoke
History of smoke                              0.004046      0.001833
MIN                                           0.003657      0.003306
Ictus_event                                   0.003300      0.002570
Pericardite                                   0.003266      0.002145
Ipotiroidismo                                 0.003093      0.001843
Ictus                                         0.002911      0.002540
Miocardite                                    0.001842      0.002028
SindromeX                                     0.001495      0.001875
MIO                                           0.001378      0.002491
EmboliaPolmonare                              0.000980      0.001326
Endocardite                                   0.000740      0.000922

--- rsf_tuned ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                          75.304573      9.918113
Creatinina                                   24.826603      4.687328
Ipolipemizzanti                              19.961248      4.972047
fe                                           16.843903      5.336289
Angiography                                  13.586289      5.595923
fT3                                          12.020721      3.265151
DimPP                                        11.472622      2.822103
fT4                                           9.355005      2.296242
Vessels                                       8.260347      3.243416
Diuretics                                     5.445433      2.001535
HR                                            5.360618      1.900830
B-Blockers                                    4.361990      1.641114
vsx                                           4.025853      1.262186
TSH                                           3.822056      1.787765
EPA                                           3.672872      1.423141
Weight                                        3.557338      1.209340
WmsiBas                                       2.658432      1.135870
LDL                                           2.237133      0.857758
Diabetes
History of diabetes                           2.173332      0.576681
Systolic blood pressure                       1.980564      1.091590
Dyslipidemia
Hystory of dyslipidemia                       1.872247      0.841208
Gender (Male = 1)                             1.743671      0.829820
Height                                        1.713324      0.817340
BMI                                           1.694251      0.484717
Diastolic blood pressure                      1.668478      0.628901
DimSettoIV                                    1.631170      0.755460
PMI                                           1.554335      0.582209
Euthyroid                                     1.534156      0.551217
Previous Myocardial Infarction                1.515735      0.549850
PCI                                           1.509851      0.599787
Nitrates                                      1.486231      0.622058
Glycemia                                      1.432597      0.427898
Antidiabetici                                 1.394468      0.498421
Ipertensione                                  1.298551      0.532269
Valvulopatie                                  1.270741      0.567918
CAD                                           1.260412      0.675293
Low T3                                        1.226643      0.608317
Triglycerides                                 1.208296      0.425117
Previous CABG                                 1.199947      0.674128
Normal                                        1.179488      0.779621
CABG _event                                   1.170025      0.554797
Primary Dilated
Cardiomyopathy                                1.131177      0.536252
Total cholesterol                             1.129697      0.447057
CABG                                          1.053641      0.315644
Subclinical primary hypothyroidism (SCH)      1.047198      0.261245
Acute Myocardial Infarction                   1.040766      0.347742
Atrial Fibrillation                           1.037812      0.290459
PCI_event                                     1.031391      0.422037
Amiodarone                                    1.023310      0.375338
Hypertension
History of hypertension                       1.017003      0.279488
Post-ischemic Dilated
Cardiomyopathy                                1.013290      0.417173
Smoke
History of smoke                              1.010481      0.330811
ACE-inhibitors                                1.003527      0.448236
HDL                                           0.987198      0.390401
Angina                                        0.971593      0.329539
Documented resting
or exertional ischemia                        0.966385      0.579752
MalattiaVasoAorta                             0.947504      0.432315
AMI                                           0.923552      0.315890
Aritmie                                       0.922084      0.486370
Non Fatal AMI (Follow-Up)_event               0.880662      0.377718
Non Fatal AMI (Follow-Up)                     0.880549      0.392126
Calcium channel blockers                      0.860734      0.319513
Ipertiroidismo                                0.860464      0.456968
MIN                                           0.811050      0.579256
Subclinical primary hyperthyroidism
(SCT)                                         0.806841      0.390019
Ipotiroidismo                                 0.791484      0.388407
Previous PCI                                  0.732578      0.376195
Antiplatelet                                  0.727669      0.324101
Ictus_event                                   0.694954      0.491801
Ictus                                         0.618640      0.586553
Pericardite                                   0.547892      0.339959
Miocardite                                    0.469049      0.472648
MIO                                           0.351531      0.625458
SindromeX                                     0.256571      0.278976
Endocardite                                   0.155760      0.163820
EmboliaPolmonare                              0.147353      0.185251

