SHAP Aggregated — OrmoniTirodei | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                          66.289939      8.477788
Creatinina                                   24.351791      6.399801
fe                                           17.087659      3.582238
Angiography                                  15.736961      8.104959
Ipolipemizzanti                              13.483443      2.605393
fT3                                          10.524225      3.417410
DimPP                                         8.106003      1.872942
Vessels                                       7.720422      3.095877
fT4                                           6.537752      1.884075
Diuretics                                     5.809454      2.637237
vsx                                           4.600169      1.471642
TSH                                           3.474059      1.256035
EPA                                           3.276526      1.229734
B-Blockers                                    2.840213      1.129535
LDL                                           2.661275      1.471199
HR                                            2.114769      0.915402
Height                                        2.074379      0.897622
Dyslipidemia
Hystory of dyslipidemia                       1.884599      0.828253
BMI                                           1.828182      0.885888
WmsiBas                                       1.745789      0.861749
Nitrates                                      1.660388      0.737548
Weight                                        1.658296      0.854249
Diastolic blood pressure                      1.577849      0.680405
PCI                                           1.565720      0.690373
Diabetes
History of diabetes                           1.433678      0.541620
Glycemia                                      1.379938      0.625686
DimSettoIV                                    1.365421      0.595207
Antidiabetici                                 1.357743      0.574365
Ipertensione                                  1.324281      0.507342
Valvulopatie                                  1.292228      0.668569
Euthyroid                                     1.250631      0.400188
HDL                                           1.250361      0.354728
Atrial Fibrillation                           1.225031      0.569584
Primary Dilated
Cardiomyopathy                                1.204502      0.531653
Previous Myocardial Infarction                1.184091      0.490714
Systolic blood pressure                       1.148498      0.474361
Normal                                        1.136347      0.751901
Triglycerides                                 1.135795      0.493094
Gender (Male = 1)                             1.107070      0.545175
Previous CABG                                 1.077462      0.408289
Total cholesterol                             1.047264      0.518390
Post-ischemic Dilated
Cardiomyopathy                                1.020052      0.511994
Calcium channel blockers                      1.003912      0.394887
PMI                                           0.995700      0.269407
Low T3                                        0.960237      0.364920
CAD                                           0.935228      0.336873
Hypertension
History of hypertension                       0.934231      0.424995
Acute Myocardial Infarction                   0.928094      0.334066
ACE-inhibitors                                0.919149      0.410263
Aritmie                                       0.911895      0.337189
CABG                                          0.860392      0.337967
Ipertiroidismo                                0.852741      0.504210
Smoke
History of smoke                              0.845871      0.305302
Amiodarone                                    0.842697      0.429126
CABG _event                                   0.842408      0.346526
Angina                                        0.837073      0.292985
PCI_event                                     0.833925      0.321910
Non Fatal AMI (Follow-Up)                     0.821092      0.493182
MalattiaVasoAorta                             0.818623      0.284879
AMI                                           0.810194      0.335359
Subclinical primary hypothyroidism (SCH)      0.787147      0.389092
Documented resting
or exertional ischemia                        0.742821      0.247726
Ipotiroidismo                                 0.726406      0.407267
Non Fatal AMI (Follow-Up)_event               0.695572      0.306160
Subclinical primary hyperthyroidism
(SCT)                                         0.663830      0.298613
Antiplatelet                                  0.651443      0.315531
Previous PCI                                  0.623572      0.221084
MIN                                           0.606151      0.412241
Ictus                                         0.591229      0.504180
Pericardite                                   0.591120      0.403919
Ictus_event                                   0.488628      0.356303
Miocardite                                    0.389040      0.446946
SindromeX                                     0.272996      0.377843
MIO                                           0.177034      0.324448
EmboliaPolmonare                              0.162500      0.262335
Endocardite                                   0.126737      0.130954

--- cox ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           1.001626      0.640759
Creatinina                                    0.413170      0.275015
fe                                            0.245407      0.147971
Ipolipemizzanti                               0.243260      0.207159
Angiography                                   0.183370      0.128885
fT3                                           0.120169      0.085276
fT4                                           0.102848      0.080995
DimPP                                         0.099235      0.077946
Diuretics                                     0.089735      0.067701
vsx                                           0.074792      0.050465
EPA                                           0.070002      0.058542
WmsiBas                                       0.060099      0.066558
TSH                                           0.057578      0.046880
HR                                            0.043362      0.031021
Vessels                                       0.041990      0.029570
Dyslipidemia
Hystory of dyslipidemia                       0.037940      0.023675
Valvulopatie                                  0.035126      0.030105
Glycemia                                      0.033196      0.031667
LDL                                           0.028905      0.026491
BMI                                           0.028400      0.020547
Previous CABG                                 0.025904      0.021197
Height                                        0.024597      0.019048
Weight                                        0.023569      0.015812
Post-ischemic Dilated
Cardiomyopathy                                0.023212      0.022486
PMI                                           0.021280      0.023047
Euthyroid                                     0.021223      0.014073
Total cholesterol                             0.020349      0.015610
PCI                                           0.020336      0.015968
Antidiabetici                                 0.020162      0.015605
B-Blockers                                    0.019864      0.020971
Nitrates                                      0.019582      0.014880
Amiodarone                                    0.018531      0.014656
DimSettoIV                                    0.018298      0.014948
Systolic blood pressure                       0.017818      0.012926
Aritmie                                       0.017714      0.014352
Low T3                                        0.017266      0.011484
CAD                                           0.016868      0.016253
Diabetes
History of diabetes                           0.016791      0.008658
Diastolic blood pressure                      0.016539      0.012060
Previous Myocardial Infarction                0.016179      0.015026
Calcium channel blockers                      0.016029      0.015163
HDL                                           0.015335      0.014027
Documented resting
or exertional ischemia                        0.015025      0.010448
Atrial Fibrillation                           0.014934      0.009990
Antiplatelet                                  0.013997      0.015331
SindromeX                                     0.013975      0.019464
Gender (Male = 1)                             0.013871      0.008154
Primary Dilated
