SHAP — HURRAH | tabdpt | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
EZETEMIBE                                 0.320205       0.091856
ACEI                                      0.318149       0.062275
BETABLOCCANTI                             0.290242       0.124153
PCR                                       0.287984       0.104368
FU_NF_FA                                  0.279869       0.086920
FIBRATI                                   0.274918       0.101462
OMEGA_3                                   0.273432       0.058100
IMA_BASE                                  0.269127       0.061927
NF_FA                                     0.268093       0.181373
ALTRO_CAA                                 0.262565       0.159756
INDAPAMIDE                                0.258346       0.118670
IMT                                       0.258075       0.115292
HF_BASE                                   0.257257       0.152555
CAA_DIID                                  0.242920       0.050612
HCTZ                                      0.242106       0.072955
NORMOMICROMACRO                           0.240555       0.112379
STATINA                                   0.240262       0.057419
ACIDO_NICOTINICO                          0.229750       0.090806
RESINE                                    0.227875       0.075937
DIURETICI                                 0.223818       0.054085
MENOPAUSA                                 0.208752       0.067486
ANNI_MENOP                                0.207191       0.049686
CBV_BASE                                  0.146130       0.036546

--- cox ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       1.403468       0.388599
VITA                                      0.992304       0.283034
HB                                        0.344583       0.129431
INS_CARD                                  0.259876       0.063189
FAM_IPERT                                 0.229555       0.063352
SESSO                                     0.160898       0.041265
SARTANI                                   0.159524       0.081261
AZOTEMIA                                  0.144087       0.080058
ALB_CAT                                   0.135378       0.039805
URICEMIA                                  0.128279       0.061561
HDL                                       0.125170       0.039868
FC                                        0.120769       0.055026
CLORTALIDONE                              0.105367       0.082487
ACEI                                      0.100084       0.051141
DELL_ANSA                                 0.092206       0.036685
GLICEMIA                                  0.091517       0.036280
TG                                        0.091290       0.030077
FUMO_ATT                                  0.088379       0.032006
FAM_CV                                    0.084209       0.033180
INDAPAMIDE                                0.083359       0.031660
ALTEZZA                                   0.078662       0.036141
IRC                                       0.078059       0.033938
PAD                                       0.076908       0.024255
CT                                        0.076175       0.017632
PLACCA                                    0.074913       0.019313
PESO                                      0.073806       0.013555
CREATININA                                0.071402       0.035736
HT                                        0.071306       0.017701
BMI                                       0.070974       0.016780
DIABETE                                   0.069168       0.033536
NF_FA                                     0.068895       0.022251
ALCOOL                                    0.061108       0.025457
ATT_FIS_H_SETT                            0.060442       0.015616
GOTTA                                     0.060057       0.048732
ATT_FIS                                   0.058280       0.014765
PCR                                       0.055279       0.017879
ALLOPURINOLO                              0.053159       0.016544
FIBRATI                                   0.052783       0.018319
ALTRO_CAA                                 0.051548       0.019609
ETANOLO_G_DIE                             0.050949       0.013499
IPERTESO                                  0.050879       0.020013
EXFUMO                                    0.048791       0.016032
ACIDO_NICOTINICO                          0.048413       0.014171
FA_BASE                                   0.047634       0.026040
PAS                                       0.047415       0.020708
DIURETICI                                 0.047328       0.017844
STATINA                                   0.042823       0.014047
RESINE                                    0.040989       0.013580
BETABLOCCANTI                             0.039025       0.016031
MENOPAUSA                                 0.038894       0.025996
ANNI_MENOP                                0.037307       0.012458
NORMOMICROMACRO                           0.037085       0.010476
CBV_BASE                                  0.037008       0.008605
HCTZ                                      0.036827       0.018202
FU_NF_FA                                  0.034702       0.015094
IMT                                       0.033618       0.001827
CAA_DIID                                  0.031437       0.014526
OMEGA_3                                   0.031339       0.012689
EZETEMIBE                                 0.030800       0.015991
HF_BASE                                   0.030423       0.015437
IMA_BASE                                  0.027894       0.007234

--- deepsurv_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.550814       0.137901
VITA                                      0.178871       0.045511
HB                                        0.093459       0.041046
